analysis,file,reference_exists,reproduced_exists,reference_rows,reproduced_rows,reference_sha256,reproduced_sha256,status,differing_cells,max_numeric_abs_error,detail
D,p_side_forward_retrieval_v1.csv,True,True,54980,54980,0aa3f1389f2ad3e42d7fded88a59ae4fb75b2f0b9eb2ee80c24cd556dfb178e1,0aa3f1389f2ad3e42d7fded88a59ae4fb75b2f0b9eb2ee80c24cd556dfb178e1,PASS,0,0.0,within tolerance
D,p_side_retrieval_identification_summary_v1.csv,True,True,48,48,8bc8e385796cdc7c67c7c54995775effb8b3cd8e7120f724320db531575add5d,8bc8e385796cdc7c67c7c54995775effb8b3cd8e7120f724320db531575add5d,PASS,0,0.0,within tolerance
D,p_side_channel_coverage_v1.csv,True,True,16,16,604bf19654d85ecfe33219e65201940a6d76e735698112e1ef30301bbfe34ac7,604bf19654d85ecfe33219e65201940a6d76e735698112e1ef30301bbfe34ac7,PASS,0,0.0,within tolerance
D,p_vs_s_side_matched_retrieval_summary_v1.csv,True,True,48,48,982eeaad91d4244d61e5d982a95028dcdf8d35c7b88b5d75a2c0dc16d7a7e2da,982eeaad91d4244d61e5d982a95028dcdf8d35c7b88b5d75a2c0dc16d7a7e2da,PASS,0,0.0,within tolerance
