model,channel,root_family_id,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-51A5,-257.75,-332.25
bge_m3_1024d,cn_def,ROOT-51E0,-639.2,-351.2
bge_m3_1024d,cn_def,ROOT-51E1,-39.57142857142857,-39.57142857142857
bge_m3_1024d,cn_def,ROOT-51FA,1991.75,3173.5
bge_m3_1024d,cn_def,ROOT-5200,143.69230769230768,275.0769230769231
bge_m3_1024d,cn_def,ROOT-5203,-140.33333333333334,-175.16666666666666
bge_m3_1024d,cn_def,ROOT-5206,270.64285714285717,495.35714285714283
bge_m3_1024d,cn_def,ROOT-5247,46.75,673.0
bge_m3_1024d,cn_def,ROOT-529B,184.6153846153846,257.84615384615387
bge_m3_1024d,cn_def,ROOT-52F9,75.33333333333333,534.5555555555555
bge_m3_1024d,cn_def,ROOT-52FA,709.8571428571429,975.0
bge_m3_1024d,cn_def,ROOT-52FF,74.0,-57.333333333333336
bge_m3_1024d,cn_def,ROOT-5303,-44.5,11.285714285714286
bge_m3_1024d,cn_def,ROOT-5305,-27.076923076923077,70.23076923076923
bge_m3_1024d,cn_def,ROOT-5315,-9.416666666666666,15.416666666666666
bge_m3_1024d,cn_def,ROOT-5340,-160.46153846153845,-237.07692307692307
bge_m3_1024d,cn_def,ROOT-5348,-617.0,-300.0
bge_m3_1024d,cn_def,ROOT-5349,-290.75,194.75
bge_m3_1024d,cn_def,ROOT-534A,-24.571428571428573,330.42857142857144
bge_m3_1024d,cn_def,ROOT-5351,312.45454545454544,387.45454545454544
bge_m3_1024d,cn_def,ROOT-5352,1086.9,860.2
bge_m3_1024d,cn_def,ROOT-5353,185.6,346.6
bge_m3_1024d,cn_def,ROOT-535C,269.0,190.0
bge_m3_1024d,cn_def,ROOT-5360,334.5,449.8333333333333
bge_m3_1024d,cn_def,ROOT-5377,644.8,860.4
bge_m3_1024d,cn_def,ROOT-539F,237.25,125.75
bge_m3_1024d,cn_def,ROOT-53B6,216.1875,351.3125
bge_m3_1024d,cn_def,ROOT-53B7,704.75,515.75
bge_m3_1024d,cn_def,ROOT-53C3,-303.6,54.0
bge_m3_1024d,cn_def,ROOT-53C8,76.57142857142857,398.7857142857143
bge_m3_1024d,cn_def,ROOT-53CA,321.0,392.85714285714283
bge_m3_1024d,cn_def,ROOT-53CD,-642.0,-629.6
bge_m3_1024d,cn_def,ROOT-53D5,288.25,1376.25
bge_m3_1024d,cn_def,ROOT-53DA,-907.1666666666666,-759.3333333333334
bge_m3_1024d,cn_def,ROOT-53E4,-172.04166666666666,-14.708333333333334
bge_m3_1024d,cn_def,ROOT-53F8,-271.75,-297.75
bge_m3_1024d,cn_def,ROOT-5404,35.291666666666664,58.291666666666664
bge_m3_1024d,cn_def,ROOT-5405,-274.125,-105.875
bge_m3_1024d,cn_def,ROOT-5408,382.0625,833.25
bge_m3_1024d,cn_def,ROOT-5409,14.88888888888889,69.0
bge_m3_1024d,cn_def,ROOT-540C,-84.0,-103.16666666666667
bge_m3_1024d,cn_def,ROOT-544A,98.25,215.75
bge_m3_1024d,cn_def,ROOT-5468,-230.9,-194.2
bge_m3_1024d,cn_def,ROOT-54B8,607.625,961.125
bge_m3_1024d,cn_def,ROOT-54E1,-239.0,-230.75
bge_m3_1024d,cn_def,ROOT-55AE,-304.0,-31.3
bge_m3_1024d,cn_def,ROOT-55BF,304.8333333333333,261.6666666666667
bge_m3_1024d,cn_def,ROOT-56D7,-101.375,-148.75
