model,channel,anchor_family,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-4F10,1875.0,1957.5
bge_m3_1024d,cn_def,ROOT-4F59,1183.1,1423.6
bge_m3_1024d,cn_def,ROOT-4F86,1943.6666666666667,2237.3333333333335
bge_m3_1024d,cn_def,ROOT-4F8C,1175.0,760.0
bge_m3_1024d,cn_def,ROOT-4F96,1375.142857142857,844.2857142857143
bge_m3_1024d,cn_def,ROOT-4FAF,693.0,-99.0
bge_m3_1024d,cn_def,ROOT-4FDD,1980.6666666666667,1915.3333333333333
bge_m3_1024d,cn_def,ROOT-5009,1158.7,1414.5
bge_m3_1024d,cn_def,ROOT-501D,1395.0,1929.0
bge_m3_1024d,cn_def,ROOT-50C9,706.4545454545455,996.3636363636364
bge_m3_1024d,cn_def,ROOT-5140,1453.6666666666667,1868.3333333333333
bge_m3_1024d,cn_def,ROOT-5143,1208.2,1242.6
bge_m3_1024d,cn_def,ROOT-5144,-196.0,-640.0
bge_m3_1024d,cn_def,ROOT-5145,1122.0,1704.0
bge_m3_1024d,cn_def,ROOT-5146,1353.9,1405.0
bge_m3_1024d,cn_def,ROOT-5148,2138.0,3170.0
bge_m3_1024d,cn_def,ROOT-5149,354.25,588.5
bge_m3_1024d,cn_def,ROOT-514B,-603.0,-742.0
bge_m3_1024d,cn_def,ROOT-514D,732.5,901.5
bge_m3_1024d,cn_def,ROOT-5152,701.0,1411.0
bge_m3_1024d,cn_def,ROOT-5154,3018.0,1473.0
bge_m3_1024d,cn_def,ROOT-5165,1571.6,1712.2
bge_m3_1024d,cn_def,ROOT-5168,1292.4285714285713,1688.2857142857142
bge_m3_1024d,cn_def,ROOT-5169,1126.6666666666667,723.0
bge_m3_1024d,cn_def,ROOT-516A,1336.0,1609.0
bge_m3_1024d,cn_def,ROOT-516B,858.5,1068.5
bge_m3_1024d,cn_def,ROOT-516C,1253.5,1200.875
bge_m3_1024d,cn_def,ROOT-5171,679.6666666666666,551.6666666666666
bge_m3_1024d,cn_def,ROOT-5176,1491.2307692307693,1677.8461538461538
bge_m3_1024d,cn_def,ROOT-5177,4789.0,5961.0
bge_m3_1024d,cn_def,ROOT-5178,-350.0,-1941.0
bge_m3_1024d,cn_def,ROOT-517C,1545.1,2096.7
bge_m3_1024d,cn_def,ROOT-5180,1940.0,794.0
bge_m3_1024d,cn_def,ROOT-5183,2421.75,2049.75
bge_m3_1024d,cn_def,ROOT-5189,1405.5,1286.5
bge_m3_1024d,cn_def,ROOT-518A,1676.0,1819.0
bge_m3_1024d,cn_def,ROOT-518E,1708.3333333333333,643.3333333333334
bge_m3_1024d,cn_def,ROOT-51A2,-3.0,-2.0
bge_m3_1024d,cn_def,ROOT-51A5,970.0,1019.25
bge_m3_1024d,cn_def,ROOT-51AB,316.0,914.0
bge_m3_1024d,cn_def,ROOT-51E0,1995.8,801.4
bge_m3_1024d,cn_def,ROOT-51E1,1553.6666666666667,1881.888888888889
bge_m3_1024d,cn_def,ROOT-51F6,2539.5,2847.5
bge_m3_1024d,cn_def,ROOT-51FA,-27.0,70.0
bge_m3_1024d,cn_def,ROOT-51FD,0.0,0.0
bge_m3_1024d,cn_def,ROOT-5200,1686.7333333333333,2011.2
bge_m3_1024d,cn_def,ROOT-5203,1183.2,955.8
bge_m3_1024d,cn_def,ROOT-5206,1079.25,1562.875
bge_m3_1024d,cn_def,ROOT-5211,1577.5,1746.0
bge_m3_1024d,cn_def,ROOT-5217,2193.0,2836.0
bge_m3_1024d,cn_def,ROOT-5225,-177.0,-321.0
bge_m3_1024d,cn_def,ROOT-5229,1718.0,2525.0
bge_m3_1024d,cn_def,ROOT-5236,46.0,-35.5
bge_m3_1024d,cn_def,ROOT-5247,685.6,1120.8
bge_m3_1024d,cn_def,ROOT-529B,1229.2,1768.1333333333334
bge_m3_1024d,cn_def,ROOT-52DE,2032.0,2183.25
bge_m3_1024d,cn_def,ROOT-52F9,981.4,1090.5
bge_m3_1024d,cn_def,ROOT-52FA,1405.2,1162.3
bge_m3_1024d,cn_def,ROOT-52FB,1389.3333333333333,1504.6666666666667
bge_m3_1024d,cn_def,ROOT-52FF,1093.3333333333333,696.8333333333334
bge_m3_1024d,cn_def,ROOT-5303,1637.5333333333333,1634.0666666666666
bge_m3_1024d,cn_def,ROOT-5305,1736.6153846153845,1642.923076923077
bge_m3_1024d,cn_def,ROOT-5315,1267.695652173913,1200.8695652173913
bge_m3_1024d,cn_def,ROOT-5317,2080.0,1915.0
bge_m3_1024d,cn_def,ROOT-5321,3147.5,3719.5
bge_m3_1024d,cn_def,ROOT-5340,1600.6666666666667,2032.5833333333333
bge_m3_1024d,cn_def,ROOT-5341,1228.3333333333333,1369.0
bge_m3_1024d,cn_def,ROOT-5347,29.0,77.0
bge_m3_1024d,cn_def,ROOT-5348,1940.25,2132.75
bge_m3_1024d,cn_def,ROOT-5349,1265.5,1608.5
bge_m3_1024d,cn_def,ROOT-534A,633.2857142857143,942.8571428571429
bge_m3_1024d,cn_def,ROOT-5351,1487.0,1395.090909090909
bge_m3_1024d,cn_def,ROOT-5352,1065.25,940.3333333333334
