model,channel,minimum_other_training_families,eligible_heldout_edges_raw,candidate_anchor_count_raw,candidate_character_count_raw,inverse_percent_rank_improved_raw,inverse_percent_rank_worsened_raw,inverse_top1_rescues_raw,inverse_top1_losses_raw,inverse_net_top1_gain_raw,inverse_baseline_recall_at_1_raw,inverse_baseline_recall_at_5_raw,inverse_baseline_recall_at_10_raw,inverse_baseline_mrr_raw,inverse_baseline_median_rank_raw,inverse_offset_recall_at_1_raw,inverse_offset_recall_at_5_raw,inverse_offset_recall_at_10_raw,inverse_offset_mrr_raw,inverse_offset_median_rank_raw,inverse_baseline_mean_percentile_rank_raw,inverse_offset_mean_percentile_rank_raw,forward_baseline_recall_at_1_raw,forward_baseline_recall_at_5_raw,forward_baseline_recall_at_10_raw,forward_baseline_mrr_raw,forward_baseline_median_rank_raw,forward_offset_recall_at_1_raw,forward_offset_recall_at_5_raw,forward_offset_recall_at_10_raw,forward_offset_mrr_raw,forward_offset_median_rank_raw,human_interpretation_raw,uniform_top1_reference_raw,eligible_heldout_edges_centered,candidate_anchor_count_centered,candidate_character_count_centered,inverse_percent_rank_improved_centered,inverse_percent_rank_worsened_centered,inverse_top1_rescues_centered,inverse_top1_losses_centered,inverse_net_top1_gain_centered,inverse_baseline_recall_at_1_centered,inverse_baseline_recall_at_5_centered,inverse_baseline_recall_at_10_centered,inverse_baseline_mrr_centered,inverse_baseline_median_rank_centered,inverse_offset_recall_at_1_centered,inverse_offset_recall_at_5_centered,inverse_offset_recall_at_10_centered,inverse_offset_mrr_centered,inverse_offset_median_rank_centered,inverse_baseline_mean_percentile_rank_centered,inverse_offset_mean_percentile_rank_centered,forward_baseline_recall_at_1_centered,forward_baseline_recall_at_5_centered,forward_baseline_recall_at_10_centered,forward_baseline_mrr_centered,forward_baseline_median_rank_centered,forward_offset_recall_at_1_centered,forward_offset_recall_at_5_centered,forward_offset_recall_at_10_centered,forward_offset_mrr_centered,forward_offset_median_rank_centered,human_interpretation_centered,uniform_top1_reference_centered,eligible_heldout_edges_centered_minus_raw,candidate_anchor_count_centered_minus_raw,candidate_character_count_centered_minus_raw,inverse_percent_rank_improved_centered_minus_raw,inverse_percent_rank_worsened_centered_minus_raw,inverse_top1_rescues_centered_minus_raw,inverse_top1_losses_centered_minus_raw,inverse_net_top1_gain_centered_minus_raw,inverse_baseline_recall_at_1_centered_minus_raw,inverse_baseline_recall_at_5_centered_minus_raw,inverse_baseline_recall_at_10_centered_minus_raw,inverse_baseline_mrr_centered_minus_raw,inverse_baseline_median_rank_centered_minus_raw,inverse_offset_recall_at_1_centered_minus_raw,inverse_offset_recall_at_5_centered_minus_raw,inverse_offset_recall_at_10_centered_minus_raw,inverse_offset_mrr_centered_minus_raw,inverse_offset_median_rank_centered_minus_raw,inverse_baseline_mean_percentile_rank_centered_minus_raw,inverse_offset_mean_percentile_rank_centered_minus_raw,forward_baseline_recall_at_1_centered_minus_raw,forward_baseline_recall_at_5_centered_minus_raw,forward_baseline_recall_at_10_centered_minus_raw,forward_baseline_mrr_centered_minus_raw,forward_baseline_median_rank_centered_minus_raw,forward_offset_recall_at_1_centered_minus_raw,forward_offset_recall_at_5_centered_minus_raw,forward_offset_recall_at_10_centered_minus_raw,forward_offset_mrr_centered_minus_raw,forward_offset_median_rank_centered_minus_raw,uniform_top1_reference_centered_minus_raw
bge_m3_1024d,cn_def,3,2960,1053,6039,55.43918918918919,42.46621621621622,4,5,-1,0.0118243243243243,0.0260135135135135,0.0331081081081081,0.0225020762179109,477.0,0.0114864864864864,0.025,0.0324324324324324,0.0227089842245129,469.0,0.5336476210050355,0.5388096033295653,0.006081081081081,0.0118243243243243,0.0148648648648648,0.0100210471473658,2710.0,0.0057432432432432,0.0162162162162162,0.0236486486486486,0.0151679041231451,997.0,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.18% before relation subtraction and 1.15% afterward.",0.0009496676163342,2960,1053,6039,55.87837837837838,41.72297297297297,2,2,0,0.0121621621621621,0.025,0.0327702702702702,0.0226764900722427,453.0,0.0121621621621621,0.0246621621621621,0.0364864864864864,0.0237105350065913,444.0,0.5538282935977803,0.5576077741239338,0.0054054054054054,0.0118243243243243,0.0155405405405405,0.0097823403549646,2617.0,0.0054054054054054,0.0158783783783783,0.0280405405405405,0.0157678204045074,760.5,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.22% before relation subtraction and 1.22% afterward.",0.0009496676163342,0,0,0,0.4391891891891859,-0.7432432432432492,-2,-3,1,0.0003378378378377997,-0.0010135135135134997,-0.0003378378378379038,0.000174413854331798,-24.0,0.0006756756756757,-0.0003378378378379003,0.004054054054053999,0.001001550782078399,-25.0,0.02018067259274481,0.01879817079436852,-0.0006756756756756003,0.0,0.0006756756756757,-0.0002387067924012002,-93.0,-0.00033783783783780056,-0.0003378378378379003,0.004391891891891899,0.0005999162813623022,-236.5,0.0
bge_m3_1024d,cn_def,5,2883,1053,6039,55.42837322233785,42.42108914325355,4,5,-1,0.0121401318071453,0.0267082899757197,0.0336455081512313,0.022887843974377,476.0,0.0117932708983697,0.0256677072493929,0.0329517863336801,0.0231082457908232,466.0,0.5338772982832363,0.5386822450737179,0.0062434963579604,0.0121401318071453,0.0149150190773499,0.0102036006170467,2707.0,0.0058966354491848,0.0163024627124523,0.023933402705515,0.0153516768594038,988.0,,,2883,1053,6039,55.809920221990986,41.72736732570239,2,2,0,0.0124869927159209,0.0256677072493929,0.0332986472424557,0.0230490401162941,453.0,0.0124869927159209,0.0253208463406174,0.036420395421436,0.0240928361573204,444.0,0.554023256826104,0.5579142317162757,0.0055497745404092,0.0121401318071453,0.0159556018036767,0.0099700629560739,2626.0,0.0055497745404092,0.0159556018036767,0.0284425945195976,0.0159423508061328,750.0,,,0,0,0,0.3815469996531391,-0.6937218175511646,-2,-3,1,0.0003468609087755991,-0.001040582726326799,-0.00034686090877560083,0.00016119614191709847,-23.0,0.0006937218175511999,-0.0003468609087755002,0.0034686090877558973,0.0009845903664971976,-22.0,0.020145958542867715,0.019231986642557874,-0.0006937218175511999,0.0,0.0010405827263268008,-0.00023353766097279974,-81.0,-0.00034686090877559996,-0.00034686090877559736,0.004509191814082599,0.0005906739467290006,-238.0,
bge_m3_1024d,cn_def,8,2790,1053,6039,55.55555555555556,42.22222222222222,4,5,-1,0.0125448028673835,0.0275985663082437,0.0347670250896057,0.0235212793265492,473.5,0.0121863799283154,0.0265232974910394,0.0340501792114695,0.023756483270117,461.0,0.5358640991046241,0.5413389072870246,0.0064516129032258,0.0125448028673835,0.0154121863799283,0.0105109761040123,2704.5,0.0060931899641577,0.0161290322580645,0.0236559139784946,0.0152699364327138,1004.5,,,2790,1053,6039,55.98566308243728,41.46953405017921,2,2,0,0.0129032258064516,0.0261648745519713,0.0340501792114695,0.0235079848983803,452.5,0.0129032258064516,0.0261648745519713,0.0376344086021505,0.0247234246885278,443.0,0.5545664854109599,0.5593479564441174,0.0057347670250896,0.0125448028673835,0.0164874551971326,0.0102711102957188,2624.5,0.0057347670250896,0.0154121863799283,0.0279569892473118,0.0157327803006792,760.5,,,0,0,0,0.43010752688172005,-0.7526881720430083,-2,-3,1,0.0003584229390680999,-0.0014336917562723997,-0.0007168458781361964,-1.3294428168900141e-05,-21.0,0.0007168458781362016,-0.00035842293906810166,0.0035842293906809958,0.0009669414184108015,-18.0,0.018702386306335805,0.018009049157092782,-0.0007168458781362007,0.0,0.0010752688172042998,-0.0002398658082935004,-80.0,-0.0003584229390680999,-0.0007168458781361981,0.0043010752688172026,0.00046284386796539845,-244.0,
bge_m3_1024d,en_def_translated_cn_def,3,2960,1053,6039,54.08783783783784,43.85135135135136,4,3,1,0.0101351351351351,0.0202702702702702,0.027027027027027,0.0192364731004861,503.0,0.0104729729729729,0.0206081081081081,0.0273648648648648,0.0196199365933393,490.0,0.5189873214469222,0.5232937904634672,0.0043918918918918,0.0087837837837837,0.0118243243243243,0.0076470993566025,2759.5,0.0050675675675675,0.0118243243243243,0.0199324324324324,0.0121657166609038,1220.0,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.01% before relation subtraction and 1.05% afterward.",0.0009496676163342,2960,1053,6039,54.391891891891895,43.817567567567565,8,5,3,0.0104729729729729,0.0202702702702702,0.0280405405405405,0.0197709316641336,471.0,0.0114864864864864,0.0206081081081081,0.031081081081081,0.0207899441988204,471.0,0.539029904429144,0.5420274123933819,0.0043918918918918,0.0077702702702702,0.0121621621621621,0.007524628783838,2758.0,0.0050675675675675,0.0131756756756756,0.0219594594594594,0.0130539739350728,970.5,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.05% before relation subtraction and 1.15% afterward.",0.0009496676163342,0,0,0,0.30405405405405617,-0.03378378378379665,4,2,2,0.00033783783783780143,0.0,0.0010135135135134997,0.0005344585636475017,-32.0,0.0010135135135134997,0.0,0.003716216216216199,0.0011700076054811,-19.0,0.020042582982221835,0.01873362192991468,0.0,-0.0010135135135134997,0.0003378378378377997,-0.00012247057276450028,-1.5,0.0,0.0013513513513512994,0.002027027027027003,0.0008882572741689999,-249.5,0.0
bge_m3_1024d,en_def_translated_cn_def,5,2883,1053,6039,54.075615678113074,43.84321886923344,4,3,1,0.0100589663544918,0.0204647936177592,0.0274020117932708,0.0192873677752073,501.0,0.0104058272632674,0.0208116545265348,0.0277488727020464,0.0196907066882299,489.0,0.5199121901167061,0.5235496136391513,0.0045091918140825,0.0090183836281651,0.0117932708983697,0.0077747377488378,2755.0,0.0052029136316337,0.0121401318071453,0.0204647936177592,0.012359883253262,1200.0,,,2883,1053,6039,54.45716267776621,43.73916059660076,8,5,3,0.0104058272632674,0.0204647936177592,0.028095733610822,0.0198183388753163,471.0,0.0114464099895941,0.0208116545265348,0.0315643426985778,0.0208833524887552,474.0,0.5393172774979591,0.5417884966151386,0.0045091918140825,0.0079778009018383,0.0121401318071453,0.0076433850754239,2752.0,0.0052029136316337,0.0135275754422476,0.0225459590704127,0.0132292556712703,961.0,,,0,0,0,0.3815469996531391,-0.10405827263267753,4,2,2,0.00034686090877560083,0.0,0.0006937218175511982,0.0005309711001089991,-30.0,0.0010405827263267001,0.0,0.003815469996531401,0.0011926458005253014,-15.0,0.019405087381253017,0.018238882975987303,0.0,-0.001040582726326799,0.00034686090877560083,-0.00013135267341390054,-3.0,0.0,0.0013874436351022992,0.002081165452653501,0.0008693724180083,-239.0,
bge_m3_1024d,en_def_translated_cn_def,8,2790,1053,6039,54.40860215053763,43.47670250896057,4,3,1,0.0103942652329749,0.0211469534050179,0.0283154121863799,0.0198057172897342,498.0,0.010752688172043,0.021505376344086,0.028673835125448,0.0202432326542213,485.5,0.5225762159804843,0.5267495264183599,0.0046594982078853,0.0093189964157706,0.0121863799283154,0.008010355104667,2739.5,0.0053763440860215,0.0118279569892473,0.0200716845878136,0.0122197130299178,1224.5,,,2790,1053,6039,54.83870967741935,43.297491039426525,8,5,3,0.010752688172043,0.0211469534050179,0.0290322580645161,0.0203489571715493,469.0,0.0118279569892473,0.021505376344086,0.0326164874551971,0.0214825555965279,467.5,0.5410786077381196,0.544084658680513,0.0046594982078853,0.0082437275985663,0.0125448028673835,0.0078744748793641,2741.5,0.0053763440860215,0.0129032258064516,0.0222222222222222,0.0130936771350059,969.5,,,0,0,0,0.43010752688172005,-0.17921146953404588,4,2,2,0.0003584229390680999,0.0,0.0007168458781361998,0.000543239881815101,-29.0,0.0010752688172042998,0.0,0.003942652329749101,0.0012393229423066018,-18.0,0.01850239175763524,0.017335132262153108,0.0,-0.0010752688172042998,0.00035842293906810166,-0.00013588022530289928,2.0,0.0,0.0010752688172043015,0.0021505376344085995,0.0008739641050881011,-255.0,
bge_m3_1024d,en_gloss_unihan,3,4648,1155,9152,57.22891566265061,40.49053356282272,14,8,6,0.011617900172117,0.0301204819277108,0.0443201376936316,0.0250127366866889,548.0,0.0129087779690189,0.031196213425129,0.0421686746987951,0.0259474408168172,532.5,0.525740558172278,0.5353624823632237,0.0038726333907056,0.0103270223752151,0.01592082616179,0.0082853417609928,4132.5,0.0064543889845094,0.0187177280550774,0.0268932874354561,0.0150393777300742,1773.0,"Across 4,648 held-out cases, the correct phonophore/source anchor was rank 1 in 1.16% before relation subtraction and 1.29% afterward.",0.0008658008658008,4648,1155,9152,56.69104991394149,40.94234079173838,13,5,8,0.0126936316695352,0.03184165232358,0.0453958691910499,0.0260257099535621,514.0,0.0144148020654044,0.0329173838209982,0.0462564543889845,0.027667590146905,500.0,0.5430372766132617,0.5558666331580345,0.0040877796901893,0.0101118760757314,0.0163511187607573,0.0086747327818254,4217.0,0.0060240963855421,0.0169965576592082,0.0271084337349397,0.0151409783870001,1291.0,"Across 4,648 held-out cases, the correct phonophore/source anchor was rank 1 in 1.27% before relation subtraction and 1.44% afterward.",0.0008658008658008,0,0,0,-0.5378657487091161,0.45180722891566205,-1,-3,2,0.0010757314974182003,0.0017211703958691996,0.0010757314974182974,0.0010129732668731975,-34.0,0.0015060240963855002,0.001721170395869203,0.004087779690189398,0.0017201493300878015,-32.5,0.017296718440983683,0.020504150794810827,0.00021514629948370025,-0.00021514629948369939,0.00043029259896729816,0.0003893910208326006,84.5,-0.00043029259896730076,-0.0017211703958691996,0.0002151462994836005,0.0001016006569258994,-482.0,0.0
bge_m3_1024d,en_gloss_unihan,5,4585,1155,9152,57.36095965103599,40.37077426390404,14,8,6,0.0115594329334787,0.0300981461286804,0.0442748091603053,0.0249503996858567,548.0,0.0128680479825517,0.0311886586695747,0.0420937840785169,0.0259179896808875,533.0,0.5258241685550614,0.5353231564762649,0.0039258451472191,0.0104689203925845,0.0161395856052344,0.0083828380914786,4122.0,0.0065430752453653,0.0183206106870229,0.0263904034896401,0.0149216667274939,1770.0,,,4585,1155,9152,56.90294438386041,40.719738276990185,13,5,8,0.0126499454743729,0.0318429661941112,0.0455834242093784,0.0260411462179969,516.0,0.0143947655398037,0.0329334787350054,0.0464558342420937,0.0276903995785517,501.0,0.5422410127213864,0.555426197626576,0.004143947655398,0.0102508178844056,0.0163576881134133,0.0087569080651457,4214.0,0.0061068702290076,0.0165757906215921,0.0266085059978189,0.0150689372565559,1281.0,,,0,0,0,-0.4580152671755826,0.348964013086146,-1,-3,2,0.0010905125408941993,0.0017448200654308008,0.0013086150490730988,0.0010907465321402,-32.0,0.001526717557252,0.0017448200654307001,0.004362050163576797,0.001772409897664199,-32.0,0.01641684416632494,0.02010304115031103,0.0002181025081789004,-0.00021810250817889953,0.00021810250817889953,0.0003740699736670995,92.0,-0.0004362050163577002,-0.0017448200654308008,0.0002181025081788024,0.0001472705290620005,-489.0,
bge_m3_1024d,en_gloss_unihan,8,4472,1155,9152,57.62522361359571,40.09391771019678,14,8,6,0.0116279069767441,0.0304114490161001,0.0447227191413237,0.0251364907406821,544.0,0.0129695885509839,0.0315295169946332,0.0424865831842576,0.026174448095912,530.0,0.5279422046052774,0.5375903367923036,0.0038014311270125,0.010509838998211,0.0163237924865831,0.0083093513504521,4104.0,0.0064847942754919,0.0176654740608229,0.0259391771019678,0.014591929624627,1768.0,,,4472,1155,9152,57.13327370304114,40.45169946332737,13,5,8,0.0127459749552772,0.0322003577817531,0.0460644007155635,0.0262346510841567,516.0,0.0145348837209302,0.0333184257602862,0.0469588550983899,0.02797989948384,498.5,0.5427605776594129,0.5563180723190396,0.0040250447227191,0.0100626118067978,0.0163237924865831,0.0086679515228355,4202.5,0.0060375670840787,0.0158765652951699,0.0254919499105545,0.0146489916540573,1281.0,,,0,0,0,-0.4919499105545668,0.35778175313059535,-1,-3,2,0.0011180679785331004,0.0017889087656529981,0.0013416815742398058,0.0010981603434746003,-28.0,0.0015652951699462996,0.0017889087656529981,0.0044722719141323045,0.0018054513879279983,-31.5,0.01481837305413547,0.01872773552673601,0.00022361359570660004,-0.00044722719141320096,0.0,0.00035860017238340154,98.5,-0.0004472271914131992,-0.0017889087656529981,-0.00044722719141329983,5.7062029430300296e-05,-487.0,
bge_m3_1024d,zh_char,3,5240,1171,11150,58.85496183206107,33.83587786259542,11,8,3,0.0146946564885496,0.0312977099236641,0.0404580152671755,0.0270220965186899,488.0,0.015267175572519,0.0326335877862595,0.0437022900763358,0.0284641177770825,484.0,0.5604586677105762,0.5640847850198996,0.0103053435114503,0.0173664122137404,0.023473282442748,0.0151492261659697,5064.5,0.0112595419847328,0.0188931297709923,0.0230916030534351,0.0156617506964252,5624.0,"Across 5,240 held-out cases, the correct phonophore/source anchor was rank 1 in 1.47% before relation subtraction and 1.53% afterward.",0.0008539709649871,5240,1171,11150,47.13740458015267,41.545801526717554,15,8,7,0.0154580152671755,0.0341603053435114,0.0444656488549618,0.0289711418843162,455.0,0.0167938931297709,0.0353053435114503,0.0475190839694656,0.0304729591226487,465.0,0.5742299536765185,0.5746726365237815,0.0099236641221374,0.0179389312977099,0.0227099236641221,0.0152371747837761,4451.0,0.0120229007633587,0.0227099236641221,0.0299618320610687,0.0192372810244296,4052.5,"Across 5,240 held-out cases, the correct phonophore/source anchor was rank 1 in 1.55% before relation subtraction and 1.68% afterward.",0.0008539709649871,0,0,0,-11.717557251908403,7.709923664122137,4,0,4,0.0007633587786259003,0.0028625954198473053,0.004007633587786302,0.0019490453656263,-33.0,0.0015267175572518995,0.002671755725190801,0.003816793893129805,0.0020088413455662014,-19.0,0.013771285965942348,0.010587851503881973,-0.0003816793893129007,0.0005725190839694985,-0.0007633587786258986,8.794861780640068e-05,-613.5,0.0007633587786259003,0.0038167938931298016,0.006870229007633601,0.0035755303280043983,-1571.5,0.0
