edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag
EDGE-00578,介,妎,女,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿰女介,left-right,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,女,⿰女介,介,女,⿰女介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00447,False
EDGE-00579,介,尬,尢,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿺尢介,surround-lower-left,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,尢,⿺尢介,介,尢,⿺尢介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00448,False
EDGE-00580,介,玠,王,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿰王介,left-right,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,王,⿰王介,介,王,⿰王介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00449,False
EDGE-00581,介,界,田,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿱田介,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,田,⿱田介,介,田,⿱田介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00450,False
EDGE-00582,介,疥,疒,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿸疒介,surround-upper-left,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,疒,⿸疒介,介,疒,⿸疒介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00451,False
EDGE-00583,介,芥,艹,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿱艹介,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,艹,⿱艹介,介,艹,⿱艹介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00452,False
EDGE-00584,介,齘,齒,phonophore,structural_remainder_presumed_semantic,介,1,ROOT-4ECB,IMM-4ECB,⿰齒介,left-right,eligible_direct,high,False,CJKVI ids-analysis: 介聲,True,介,介,齒,⿰齒介,介,齒,⿰齒介,False,,,not_applicable,No accepted mapping applied.,介,COLLAPSE-00453,False
EDGE-00585,冫,冰,水,phonophore,structural_remainder_presumed_semantic,冫,1,ROOT-51AB,IMM-51AB,⿰冫水,left-right,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 冫聲,False,冫,冫,水,⿰冫水,冫,水,⿰冫水,False,,,not_applicable,No accepted mapping applied.,冫,COLLAPSE-00844,False
EDGE-00586,冫,馮,馬,phonophore,structural_remainder_presumed_semantic,冫,1,ROOT-51AB,IMM-51AB,⿰冫馬,left-right,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 冫聲,False,冫,冫,馬,⿰冫馬,冫,馬,⿰冫馬,False,,,not_applicable,No accepted mapping applied.,冫,COLLAPSE-00845,False
EDGE-00587,馮,憑,心,phonophore,structural_remainder_presumed_semantic,冫,2,ROOT-51AB,IMM-99AE,⿱馮心,top-bottom,eligible_direct,high,False,CJKVI ids-analysis: 馮聲,True,馮,馮,心,⿱馮心,馮,心,⿱馮心,False,,,not_applicable,No accepted mapping applied.,冫,COLLAPSE-05911,False
