model,relation_class,matched_edges,mean_offset_cosine_a,mean_offset_cosine_b,mean_residual_anchor_cosine_a,mean_residual_anchor_cosine_b,channel_a,channel_b,subset_id,mean_offset_cosine_c,mean_residual_anchor_cosine_c,channel_c
bge_m3_1024d,日,45,0.2169947268441319,0.21940052616927355,0.5755747894446055,0.5703428261809879,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,月,4,0.2728829942643642,0.3116770386695861,0.4896746948361397,0.5293887406587601,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,木,146,0.2567362862843255,0.21107162066658777,0.5231519425160265,0.5356869332186164,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,林,4,-0.11386451125144956,-0.046010480728000375,0.39280260354280466,0.4273184835910797,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,欠,14,0.08171550636844972,0.08849112995501074,0.5390209598200661,0.5438539747680936,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,歹,11,0.2594965168020942,0.23783567920327184,0.5454323806545951,0.5457096641713922,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,毛,5,0.14854345768690105,0.10088721737265587,0.4739071846008301,0.4857063353061676,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,水,4,0.047038773074746104,0.048708597663789925,0.44543385505676264,0.4783297330141067,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,氵,198,0.2360703312330926,0.22655453450620322,0.53718835010071,0.5424727696661997,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,火,36,0.23822010360244242,0.23199471412226552,0.5711438813143306,0.5859742959340414,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,牜,10,0.05486527420580386,0.0615264542400837,0.44336103796958926,0.4253173768520355,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,犬,4,0.0026293634437024246,-0.14611639082431788,0.5272425562143326,0.5418544262647629,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,犭,28,0.13796031045993523,0.1520466528766389,0.5047588582549777,0.5244648264987128,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,王,46,0.27612703029349767,0.28074545126266615,0.5374040914618451,0.5573061115067938,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,瓦,4,0.36993398517370224,0.3756379261612892,0.5645583868026733,0.5569753050804138,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,田,10,0.1452243538573384,0.1262725744396448,0.5065075546503067,0.520415621995926,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,疒,48,0.30616144797143835,0.2692869847329954,0.5380281905333201,0.5306917950510979,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,白,7,0.18461356524910247,0.19510644408208982,0.49356476749692646,0.47844476784978596,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,皿,9,0.2742427620622847,0.2943924466768901,0.5306339429484473,0.5485931601789262,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,目,32,0.30583461094647646,0.27149718708824366,0.5449077589437366,0.5646869130432606,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,矢,4,0.03584006428718562,0.0371107752434909,0.463549256324768,0.4749879091978073,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,石,40,0.22031699419021603,0.1683698553824797,0.5231906473636627,0.5277937173843383,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,示,5,0.04700081944465634,0.07276623770594595,0.47203853726387024,0.48410928845405576,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,礻,20,0.21937754969112574,0.2093455911846831,0.5692152425646781,0.5789266183972359,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,禾,25,0.14407960724085567,0.12890155620872976,0.5206794595718384,0.5216984391212464,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,穴,17,0.09771054917398618,0.06461121755487775,0.5029344681431266,0.5579003937104169,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,立,4,0.05231522093527015,0.12353796325623985,0.5069119334220886,0.437906377017498,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,竹,63,0.2720295973861265,0.2569524733024457,0.5380802963461194,0.5359262852441697,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,米,17,0.24104457480065958,0.18947821647367055,0.4668172843316022,0.4707371951902614,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,糸,99,0.21500979166365028,0.19306497681283888,0.5425130204118863,0.546350812370127,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,羽,14,0.09295044367068582,0.08334061064358267,0.5248248747416905,0.5251889228820801,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,耒,6,0.07895262974003951,0.11132475019743043,0.4301413247982661,0.4637100597222646,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,耳,6,0.07819111738353969,0.10778719543789822,0.4174070358276367,0.4234763632218042,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,肉,73,0.2556545521732267,0.24289474120899424,0.5229450464248657,0.5379668461949858,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,舟,12,0.32080425011614955,0.30187333996097243,0.533153290549914,0.5549376979470253,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,艹,161,0.27605919907251314,0.2566209376806983,0.5316857982496297,0.5326384442933598,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,虫,79,0.35051164262091056,0.33059986633590505,0.5295974676367603,0.5425886247731462,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,行,5,0.03417057059705258,-0.0432099739089608,0.38206853866577145,0.34326630234718325,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,衣,11,0.1666666723110459,0.17549243230711326,0.49914551052180206,0.5005812726237557,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,衤,34,0.2752325047245797,0.2499299055951483,0.529627799987793,0.5266021753058714,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,見,4,0.15268483571708194,0.028070437256246774,0.541508212685585,0.49786923080682755,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,言,98,0.1787242674629907,0.14681338189093737,0.5581193575445487,0.5521803656402899,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,豸,7,0.3829521345240729,0.3864877053669521,0.5450252337115151,0.5699936747550964,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,貝,30,0.20245996837814645,0.19257115035628275,0.5589889109134674,0.5714521080255508,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,走,8,0.07266706670634447,0.06390368286520243,0.4942578636109829,0.48942718654870987,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,車,25,0.24602810628712174,0.2055830841511488,0.5372580206394195,0.5390443885326386,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,辶,52,0.18545636993188122,0.17820266154236514,0.5254552668103805,0.5374076813459396,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,酉,20,0.18653951003216204,0.16365498667582867,0.4901735052466393,0.501184444129467,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,釒,88,0.25643382110865787,0.2204699585722251,0.5348295227370479,0.5330082147636197,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,門,20,0.126908222399652,0.0685411538928747,0.5224162265658379,0.5292735114693642,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
bge_m3_1024d,阝,49,0.15481897874982378,0.1317057791831238,0.5222168911476525,0.5279291278245498,cn_def,en_def_translated_cn_def,cn_def__INTERSECT__en_def_translated_cn_def,,,
