model,relation_class,matched_edges,mean_offset_cosine_a,mean_offset_cosine_b,mean_residual_anchor_cosine_a,mean_residual_anchor_cosine_b,channel_a,channel_b,subset_id,mean_offset_cosine_c,mean_residual_anchor_cosine_c,channel_c
bge_m3_1024d,斤,4,-0.055951440706849105,0.17967945523560044,0.4025006368756294,0.5005160272121429,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,日,64,0.14175020965922158,0.20001325077464568,0.45154886273667216,0.5673292949795723,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,月,8,0.1453043483197689,0.1322530038887635,0.48314519599080086,0.44288238510489464,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,木,255,0.23116592023996452,0.2116131683081096,0.46686200423567903,0.5164073024310317,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,林,5,0.02271720618009566,0.04620848186314104,0.39176448434591293,0.4335739493370056,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,欠,25,0.15770098112523553,0.10534527722746131,0.45438869297504425,0.48312130212783816,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,歹,17,0.16324447435052952,0.23418353125452995,0.41838024994906253,0.5405523216023165,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,毛,9,0.1352672678314977,0.13544033012456358,0.366465750667784,0.5115810963842604,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,水,4,0.07899888604879375,0.11030311509966848,0.4005666822195053,0.46124108135700226,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,氵,316,0.17469001583507449,0.23878374101028219,0.4588777242770678,0.5370440869768963,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,火,60,0.16321591089169182,0.23861651436115303,0.4557759736975034,0.5587334637840589,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,牜,14,0.14537008675480528,0.1258513628106032,0.45135720499924253,0.5105700812169484,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,犬,5,0.005191357433795896,-0.061187630146741855,0.41299445033073423,0.5104927897453309,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,犭,39,0.14974773882959896,0.1657547322221291,0.5050328137018741,0.4759103273734068,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,王,78,0.2064074627840175,0.3411433283263483,0.506843293706576,0.5375803728134204,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,瓦,7,0.32580341026186943,0.31813915925366537,0.42377371873174396,0.5442134652818952,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,田,13,0.1455453256718241,0.14644616168852032,0.4012938841031148,0.49272815997783953,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,疒,73,0.25690016568931817,0.292194538379777,0.46432454986115024,0.5338529699469265,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,白,7,0.0524686707981995,0.23645220484052384,0.37927777426583426,0.5557828119822911,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,皿,11,0.10302899523892184,0.12922695312987673,0.41803734681823035,0.5504192005504261,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,目,51,0.21859981441030316,0.2959338935712973,0.48587478872607737,0.5471623399678398,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,矢,6,0.14610807349284488,0.00979625868300595,0.36665024360020954,0.5105157792568207,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,石,56,0.21231405992460034,0.19812082223195046,0.4574263910097735,0.5398713956986155,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,示,5,0.10632574539631608,0.061658608913421585,0.4093066155910492,0.43888506293296814,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,礻,36,0.1547890674943725,0.229947459935728,0.47056737086839145,0.5443785654173957,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,禾,44,0.21251827031797307,0.18326536011458797,0.47654255987568334,0.5419591543349352,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,穴,27,0.1487216088161976,0.17638953383667047,0.42970763202066775,0.5363717167465775,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,立,5,-0.20584955252707005,0.01512278988957402,0.3515568315982819,0.5014204800128936,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,竹,105,0.21432890845019192,0.27749550509310905,0.44633044373421443,0.5311660323824201,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,米,26,0.20565593457565853,0.24785415172720182,0.44062865066986817,0.5255682445489444,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,糸,160,0.2161144135519862,0.20429343608557246,0.4570280254818499,0.5470889342948795,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,罒,5,0.1993250846862793,0.21740015447139735,0.32124353051185606,0.4654568791389465,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,羊,8,0.04181939549744127,0.20623759320005772,0.6029886454343796,0.432869616895914,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,羽,20,0.2255279822740704,0.19150780849158763,0.4641634181141853,0.5253003478050232,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,耒,7,0.07746181317738121,0.1344357516084398,0.3560691177845001,0.48308633055005756,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,耳,9,0.03628577954239317,0.10075989696714611,0.43272881044281847,0.4961249795224931,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,肉,106,0.17117201756545392,0.21501258783534447,0.4379345698738998,0.51984319006497,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,舟,16,0.26873053051531315,0.38089389353990555,0.40581428073346615,0.5322024896740913,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,艹,270,0.20738657866949559,0.23706063596462762,0.46972450963049023,0.5181946987355197,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,虫,124,0.26978450462657716,0.3238799450919032,0.46677374226912377,0.5206329964341656,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,血,4,0.4505877420306206,0.1505768783390522,0.5785947740077972,0.49747269600629807,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,行,7,0.07780938781797883,0.10392120161226813,0.4183362637247358,0.5001534180981773,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,衣,18,0.14293406383755303,0.1884406610495514,0.4263625525765949,0.5344510326782862,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,衤,57,0.25866645001071065,0.25093360429858425,0.47767639042515503,0.530109059915208,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,見,8,0.09875480690971015,0.08569196914322671,0.48224252462387085,0.5240004509687424,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,角,9,0.3135231439438131,0.12179558993213702,0.5633980267577701,0.41716840200954014,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,言,150,0.20588441268851357,0.18585339019695915,0.475522980093956,0.564100828965505,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,豕,6,0.4669003135835131,0.4297132467230161,0.4986964116493861,0.5090854664643606,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,豸,12,0.23479592055082318,0.20249425930281476,0.4404075046380361,0.49071111778418225,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,貝,44,0.1563599421219392,0.199467527129772,0.4432173201983625,0.5664922540838068,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,走,16,0.11175258690491319,0.059493157663382576,0.5053755985572934,0.4707810617983341,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,車,53,0.29076637247717885,0.24096160642099826,0.46877827790548215,0.5146052854241066,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,辶,69,0.09280912889896527,0.17914205152487406,0.45389796858248505,0.5414460383463597,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
bge_m3_1024d,酉,32,0.19629410834750158,0.25920412817504257,0.48779732920229435,0.5316467527300119,zh_char,en_gloss_unihan,zh_char__INTERSECT__en_gloss_unihan,,,
