relation_class,n_training_families,replicate,held_out_family,heldout_offset_cosine,model,channel
㫃,1,7,ROOT-4E5F,0.1022630855441093,bge_m3_1024d,cn_def
㫃,1,8,ROOT-4E5F,0.0245308801531791,bge_m3_1024d,cn_def
㫃,1,9,ROOT-4E5F,0.0073777940124273,bge_m3_1024d,cn_def
㫃,1,10,ROOT-751F,0.0954441279172897,bge_m3_1024d,cn_def
㫃,1,11,ROOT-4E5F,0.0245308801531791,bge_m3_1024d,cn_def
㫃,1,12,ROOT-20000,0.1305980384349823,bge_m3_1024d,cn_def
㫃,1,13,ROOT-5DFF,0.176799476146698,bge_m3_1024d,cn_def
㫃,1,14,ROOT-5176,0.0858910977840423,bge_m3_1024d,cn_def
㫃,1,15,ROOT-6BDB,0.0487879030406475,bge_m3_1024d,cn_def
㫃,1,16,ROOT-5176,0.0005694786086678,bge_m3_1024d,cn_def
㫃,1,17,ROOT-6BDB,0.1461057215929031,bge_m3_1024d,cn_def
㫃,1,18,ROOT-5DFF,0.0167871713638305,bge_m3_1024d,cn_def
㫃,1,19,ROOT-5DFF,0.0954441279172897,bge_m3_1024d,cn_def
㫃,1,20,ROOT-751F,0.2039480209350586,bge_m3_1024d,cn_def
㫃,1,21,ROOT-4E5F,0.0245308801531791,bge_m3_1024d,cn_def
㫃,1,22,ROOT-20000,0.1305980384349823,bge_m3_1024d,cn_def
㫃,1,23,ROOT-5176,0.2039480209350586,bge_m3_1024d,cn_def
㫃,1,24,ROOT-5DFF,0.0005694786086678,bge_m3_1024d,cn_def
㫃,1,25,ROOT-91C6,0.2369040697813034,bge_m3_1024d,cn_def
㫃,1,26,ROOT-751F,0.224168911576271,bge_m3_1024d,cn_def
㫃,1,27,ROOT-4E5F,0.0363541319966316,bge_m3_1024d,cn_def
㫃,1,28,ROOT-751F,0.2369040697813034,bge_m3_1024d,cn_def
㫃,1,29,ROOT-5DFF,0.176799476146698,bge_m3_1024d,cn_def
㫃,2,0,ROOT-5DFF,0.0816741213202476,bge_m3_1024d,cn_def
㫃,2,1,ROOT-5DFF,0.1712567508220672,bge_m3_1024d,cn_def
㫃,2,2,ROOT-20000,0.106724165380001,bge_m3_1024d,cn_def
㫃,2,3,ROOT-5DFF,0.0816741213202476,bge_m3_1024d,cn_def
㫃,2,4,ROOT-20000,0.000575509853661,bge_m3_1024d,cn_def
㫃,2,5,ROOT-4E5F,0.1239144057035446,bge_m3_1024d,cn_def
㫃,2,6,ROOT-751F,0.1659658253192901,bge_m3_1024d,cn_def
㫃,2,7,ROOT-5176,0.1898500025272369,bge_m3_1024d,cn_def
㫃,2,8,ROOT-4E5F,0.0674856528639793,bge_m3_1024d,cn_def
㫃,2,9,ROOT-4E5F,0.020532364025712,bge_m3_1024d,cn_def
㫃,2,10,ROOT-4E5F,0.0271634459495544,bge_m3_1024d,cn_def
㫃,2,11,ROOT-751F,0.2644246220588684,bge_m3_1024d,cn_def
㫃,2,12,ROOT-91C6,0.0909387990832328,bge_m3_1024d,cn_def
㫃,2,13,ROOT-20000,0.000575509853661,bge_m3_1024d,cn_def
㫃,2,14,ROOT-4E5F,0.034791249781847,bge_m3_1024d,cn_def
㫃,2,15,ROOT-751F,0.2644246220588684,bge_m3_1024d,cn_def
㫃,2,16,ROOT-5176,0.1500018537044525,bge_m3_1024d,cn_def
㫃,2,17,ROOT-6BDB,0.2410074025392532,bge_m3_1024d,cn_def
㫃,2,18,ROOT-91C6,0.0909387990832328,bge_m3_1024d,cn_def
㫃,2,19,ROOT-5DFF,0.2040811777114868,bge_m3_1024d,cn_def
㫃,2,20,ROOT-5176,0.1130714789032936,bge_m3_1024d,cn_def
㫃,2,21,ROOT-6BDB,0.1412226557731628,bge_m3_1024d,cn_def
㫃,2,22,ROOT-4E5F,0.0942552983760833,bge_m3_1024d,cn_def
㫃,2,23,ROOT-5DFF,0.2681571543216705,bge_m3_1024d,cn_def
㫃,2,24,ROOT-91C6,0.0909387990832328,bge_m3_1024d,cn_def
㫃,2,25,ROOT-751F,0.218481570482254,bge_m3_1024d,cn_def
㫃,2,26,ROOT-6BDB,0.2370334565639495,bge_m3_1024d,cn_def
㫃,2,27,ROOT-4E5F,0.1042108386754989,bge_m3_1024d,cn_def
㫃,2,28,ROOT-6BDB,0.1412226557731628,bge_m3_1024d,cn_def
㫃,2,29,ROOT-5DFF,0.1555673480033874,bge_m3_1024d,cn_def
㫃,4,0,ROOT-5176,0.1893778592348098,bge_m3_1024d,cn_def
㫃,4,1,ROOT-5176,0.2196995615959167,bge_m3_1024d,cn_def
㫃,4,2,ROOT-6BDB,0.1544549018144607,bge_m3_1024d,cn_def
㫃,4,3,ROOT-4E5F,0.1184166967868805,bge_m3_1024d,cn_def
㫃,4,4,ROOT-5176,0.1581307649612426,bge_m3_1024d,cn_def
㫃,4,5,ROOT-20000,0.0709762647747993,bge_m3_1024d,cn_def
㫃,4,6,ROOT-20000,0.0530212149024009,bge_m3_1024d,cn_def
㫃,4,7,ROOT-6BDB,0.1544549018144607,bge_m3_1024d,cn_def
㫃,4,8,ROOT-5176,0.2401131391525268,bge_m3_1024d,cn_def
㫃,4,9,ROOT-5DFF,0.144950270652771,bge_m3_1024d,cn_def
㫃,4,10,ROOT-4E5F,0.0740954726934433,bge_m3_1024d,cn_def
㫃,4,11,ROOT-4E5F,0.1101715788245201,bge_m3_1024d,cn_def
㫃,4,12,ROOT-20000,0.1642198860645294,bge_m3_1024d,cn_def
㫃,4,13,ROOT-20000,0.1353878676891327,bge_m3_1024d,cn_def
㫃,4,14,ROOT-5DFF,0.1824584305286407,bge_m3_1024d,cn_def
㫃,4,15,ROOT-751F,0.2904543280601501,bge_m3_1024d,cn_def
㫃,4,16,ROOT-5DFF,0.0926827639341354,bge_m3_1024d,cn_def
㫃,4,17,ROOT-4E5F,0.0837169736623764,bge_m3_1024d,cn_def
㫃,4,18,ROOT-20000,0.0709762722253799,bge_m3_1024d,cn_def
㫃,4,19,ROOT-6BDB,0.1899016201496124,bge_m3_1024d,cn_def
㫃,4,20,ROOT-751F,0.2904543280601501,bge_m3_1024d,cn_def
㫃,4,21,ROOT-20000,0.0469487011432647,bge_m3_1024d,cn_def
㫃,4,22,ROOT-6BDB,0.1899016201496124,bge_m3_1024d,cn_def
㫃,4,23,ROOT-20000,0.0709762647747993,bge_m3_1024d,cn_def
㫃,4,24,ROOT-5176,0.1905478537082672,bge_m3_1024d,cn_def
㫃,4,25,ROOT-4E5F,0.0921447724103927,bge_m3_1024d,cn_def
㫃,4,26,ROOT-5DFF,0.1235070079565048,bge_m3_1024d,cn_def
㫃,4,27,ROOT-6BDB,0.2242037057876587,bge_m3_1024d,cn_def
㫃,4,28,ROOT-751F,0.3044670820236206,bge_m3_1024d,cn_def
㫃,4,29,ROOT-6BDB,0.2618021368980407,bge_m3_1024d,cn_def
䖵,1,0,ROOT-77DB,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,1,ROOT-5F56,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,2,ROOT-2053E,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,3,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,4,ROOT-2053E,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,5,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,6,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,7,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
