model_label,Character,Unihan EN gloss,Chinese definition,Translated EN definition
Qwen 0.6B,3.0928918635709306,0.7412998790507117,2.0666474145466194,0.9472139737798291
BGE-M3,-3.0668860960185453,1.6829324521632179,0.3769078968357065,0.1981214405502446
GTE,-3.4847351925200694,2.2617824274387814,2.264844813963614,1.5820022232469797
Qwen 4B,2.3177595610408686,1.0397603024066318,1.5649667210394003,0.6988906276564006
