edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-03418,萹,扁,艹,艸,8,7,4,0,1143.125
EDGE-05339,覽,監,見,見,16,11,3,0,-6.5
EDGE-05313,耋,至,老,老,16,11,3,0,-325.6875
EDGE-00842,衁,亡,血,血,8,7,3,0,408.0
EDGE-00634,翎,令,羽,羽,16,7,3,0,-1.1875
EDGE-04409,髮,犮,髟,髟,16,4,3,0,-382.0
EDGE-01860,骼,各,骨,骨,16,4,3,0,-595.1875
EDGE-05000,黯,音,黑,黑,16,14,2,0,-299.4375
EDGE-00977,歉,兼,欠,欠,16,13,2,1,-168.4375
EDGE-00633,羚,令,羊,羊,16,11,2,0,-72.4375
EDGE-01089,鳳,凡,鳥,鳥,16,10,2,0,-120.375
EDGE-03873,瞳,童,目,目,16,9,2,0,-604.9375
EDGE-01094,弸,朋,弓,弓,8,8,2,0,634.75
EDGE-04580,閘,甲,門,門,16,8,2,0,-297.0625
EDGE-01329,暉,軍,日,日,16,7,2,0,151.0
EDGE-00466,皎,交,白,白,16,7,2,0,107.5625
EDGE-01818,舸,可,舟,舟,16,7,2,0,-325.75
EDGE-00720,獫,僉,犭,犬,8,6,2,0,254.25
EDGE-01725,豭,叚,豕,豕,8,6,2,0,22.5
EDGE-01555,鼬,由,鼠,鼠,16,5,2,0,-366.8125
EDGE-01545,笛,由,竹,竹,16,4,2,0,-436.8125
EDGE-04356,壤,襄,土,土,16,4,2,0,-709.1875
EDGE-02915,缸,工,缶,缶,16,3,2,1,-697.1875
EDGE-00930,哄,共,口,口,16,16,1,0,360.6875
EDGE-02556,褸,婁,衤,衣,16,16,1,0,162.1875
EDGE-05585,矚,屬,目,目,16,16,1,0,53.8125
EDGE-00113,齟,且,齒,齒,16,15,1,0,312.4375
EDGE-01512,颭,占,風,風,16,15,1,0,278.0625
EDGE-00635,聆,令,耳,耳,16,15,1,0,188.4375
EDGE-01598,麰,牟,麥,麥,16,15,1,0,102.75
EDGE-04306,簸,皮,箕,箕,16,15,1,0,66.4375
EDGE-04695,偕,皆,亻,人,16,14,1,0,862.1875
EDGE-01614,閎,厷,門,門,16,14,1,0,682.5
EDGE-01471,睥,卑,目,目,16,14,1,0,290.75
EDGE-00301,紮,札,糸,糸,16,13,1,0,755.6875
EDGE-01796,崎,奇,山,山,16,13,1,0,86.4375
EDGE-00790,鬩,兒,鬥,鬥,16,13,1,0,-29.5625
EDGE-06014,孺,需,子,子,16,12,1,0,186.8125
EDGE-04565,餔,甫,飠,食,16,12,1,0,147.5625
EDGE-01503,砧,占,石,石,16,12,1,0,131.0
EDGE-00512,驂,參,馬,馬,16,12,1,0,39.0
EDGE-05566,鱸,盧,魚,魚,16,12,1,0,-201.8125
EDGE-00614,昨,乍,日,日,16,12,1,0,-624.5
EDGE-03636,筍,旬,竹,竹,16,11,1,0,15.8125
EDGE-01246,抱,包,扌,手,16,11,1,0,-847.875
EDGE-02126,韙,韋,是,是,16,10,1,0,313.1875
EDGE-05933,們,門,亻,人,16,10,1,0,-175.125
EDGE-05787,譬,辟,言,言,16,10,1,0,-615.125
EDGE-05674,巒,䜌,山,山,16,9,1,0,120.75
EDGE-01161,紉,刃,糸,糸,16,9,1,0,112.125
EDGE-04688,舶,白,舟,舟,16,9,1,0,48.6875
EDGE-04488,睛,青,目,目,16,9,1,0,24.125
EDGE-03556,舫,方,舟,舟,16,9,1,0,-6.9375
EDGE-04875,斫,石,斤,斤,16,9,1,0,-27.25
EDGE-04046,磬,殸,石,石,16,9,1,0,-188.875
EDGE-00576,黔,今,黑,黑,16,9,1,0,-255.9375
EDGE-01530,覜,兆,見,見,8,8,1,0,803.375
EDGE-02362,琬,宛,王,玉,16,8,1,0,426.6875
EDGE-01123,柮,出,木,木,8,8,1,0,222.625
EDGE-03730,筤,良,竹,竹,8,8,1,0,212.125
EDGE-05513,蠓,蒙,虫,虫,8,8,1,0,182.625
EDGE-00588,仳,比,亻,人,16,8,1,0,86.0625
EDGE-02368,豌,宛,豆,豆,16,8,1,0,51.4375
EDGE-02351,綾,夌,糸,糸,16,8,1,0,-26.0625
EDGE-00016,盛,成,皿,皿,16,8,1,0,-91.875
EDGE-02629,琮,宗,王,玉,16,8,1,0,-297.25
EDGE-00483,孩,亥,子,子,16,8,1,0,-433.8125
EDGE-06163,驪,麗,馬,馬,8,7,1,0,550.0
EDGE-00759,侁,先,亻,人,8,7,1,0,463.75
EDGE-01135,弨,召,弓,弓,8,7,1,0,446.0
EDGE-00793,齯,兒,齒,齒,8,7,1,0,432.0
EDGE-04915,齵,禺,齒,齒,8,7,1,0,361.375
EDGE-00261,鷈,虒,鳥,鳥,8,7,1,0,299.875
EDGE-05140,燿,翟,火,火,8,7,1,0,286.125
EDGE-04421,魘,厭,鬼,鬼,8,7,1,0,190.625
EDGE-04111,羝,氐,羊,羊,8,7,1,0,155.0
EDGE-05073,翔,羊,羽,羽,16,7,1,0,-326.8125
EDGE-02874,緇,甾,糸,糸,16,7,1,0,-788.625
EDGE-02137,洄,回,氵,水,8,6,1,0,1622.125
EDGE-05132,鏐,翏,釒,金,8,6,1,0,520.5
EDGE-04408,韍,犮,韋,韋,8,6,1,0,473.875
EDGE-04840,繘,矞,糸,糸,8,6,1,0,406.125
EDGE-02778,鐶,睘,釒,金,8,6,1,0,333.125
EDGE-04766,稙,直,禾,禾,8,6,1,0,300.5
EDGE-02479,鼷,奚,鼠,鼠,8,6,1,0,152.5
EDGE-01917,姞,吉,女,女,8,6,1,0,39.75
EDGE-04472,黮,甚,黑,黑,8,6,1,0,-48.875
EDGE-01931,髻,吉,髟,髟,16,6,1,2,-68.125
EDGE-01356,耆,旨,老,老,16,6,1,0,-398.5
EDGE-01075,肌,几,肉,肉,16,6,1,0,-601.375
EDGE-05650,槲,斛,木,木,8,6,1,0,-663.375
EDGE-04082,耄,毛,老,老,16,6,1,0,-706.75
EDGE-03608,檀,亶,木,木,16,6,1,0,-759.1875
EDGE-05643,覡,見,巫,巫,8,5,1,0,407.625
EDGE-03036,耜,㠯,耒,耒,16,5,1,0,71.625
EDGE-03758,矰,曾,矢,矢,8,5,1,0,-28.25
EDGE-02767,握,屋,扌,手,16,5,1,0,-143.4375
EDGE-01540,岫,由,山,山,16,5,1,0,-221.8125
EDGE-03759,繒,曾,糸,糸,16,5,1,0,-255.6875
EDGE-03003,說,兌,言,言,16,5,1,0,-368.6875
EDGE-04097,舐,氏,舌,舌,16,5,1,0,-393.5625
EDGE-03145,黝,幼,黑,黑,16,5,1,1,-395.875
EDGE-05344,鹽,監,鹵,鹵,16,5,1,0,-590.125
EDGE-00179,蜂,夆,虫,虫,16,5,1,0,-637.0625
EDGE-02577,孵,孚,卵,卵,16,5,1,0,-698.125
EDGE-04997,窨,音,穴,穴,8,5,1,0,-846.75
EDGE-04442,弧,瓜,弓,弓,16,5,1,1,-907.4375
EDGE-00412,語,吾,言,言,16,4,1,0,3.25
EDGE-06131,瑰,鬼,王,玉,16,4,1,0,-324.875
EDGE-03586,豬,者,豕,豕,16,4,1,0,-544.8125
EDGE-01078,麂,几,鹿,鹿,16,4,1,0,-579.5
EDGE-05137,曜,翟,日,日,16,4,1,0,-745.125
EDGE-03695,匙,是,匕,匕,16,4,1,0,-786.5
EDGE-01432,軀,區,身,身,16,4,1,0,-799.0625
EDGE-03506,皙,析,白,白,16,3,1,0,19.3125
EDGE-05844,嚮,鄉,向,向,8,3,1,0,-673.375
EDGE-01942,銅,同,釒,金,16,3,1,0,-853.0
EDGE-03447,鼒,才,鼎,鼎,8,3,1,0,-871.5
EDGE-00494,骸,亥,骨,骨,16,3,1,1,-1390.8125
EDGE-00804,蚋,內,虫,虫,16,3,1,0,-1693.5
EDGE-05371,與,舁,与,与,8,2,1,0,0.25
EDGE-03108,稈,旱,禾,禾,16,2,1,1,-297.0
EDGE-00709,劍,僉,刂,刀,16,1,1,0,-88.375
EDGE-02219,卦,圭,卜,卜,16,1,1,0,-438.9375
EDGE-05468,儆,敬,亻,人,16,16,0,0,3267.9375
EDGE-04724,禧,喜,礻,示,16,16,0,0,2989.3125
EDGE-04722,僖,喜,亻,人,16,16,0,0,2899.75
EDGE-01312,忽,勿,心,心,16,16,0,0,2124.5
EDGE-00079,羞,丑,羊,羊,16,16,0,0,2064.1875
EDGE-01128,黜,出,黑,黑,16,16,0,0,1997.6875
EDGE-00063,儐,賓,亻,人,16,16,0,0,1900.5625
EDGE-05192,戢,咠,戈,戈,16,16,0,0,1896.125
EDGE-05472,驚,敬,馬,馬,16,16,0,0,1872.0
EDGE-03494,閔,文,門,門,16,16,0,0,1840.1875
EDGE-02350,稜,夌,禾,禾,16,16,0,0,1817.25
EDGE-03500,忻,斤,忄,心,16,16,0,0,1815.5
EDGE-00612,怍,乍,忄,心,16,16,0,0,1685.4375
EDGE-02822,恃,寺,忄,心,16,16,0,0,1667.125
EDGE-04343,欷,希,欠,欠,16,16,0,0,1666.1875
EDGE-01642,堅,臤,土,土,16,16,0,0,1663.0625
EDGE-00130,抨,平,扌,手,16,16,0,0,1660.625
EDGE-05926,漲,張,氵,水,16,16,0,0,1658.25
EDGE-04058,侮,毎,亻,人,16,16,0,0,1645.875
EDGE-03427,佚,失,亻,人,16,16,0,0,1628.5625
EDGE-04865,知,矢,口,口,16,16,0,0,1620.3125
EDGE-00294,鎚,追,釒,金,16,16,0,0,1614.4375
EDGE-05619,猝,卒,犭,犬,16,16,0,0,1613.625
EDGE-03071,蹩,敝,足,足,16,16,0,0,1596.8125
EDGE-04866,智,知,日,日,16,16,0,0,1544.5625
EDGE-03495,憫,閔,忄,心,16,16,0,0,1542.25
EDGE-02451,狹,夾,犭,犬,16,16,0,0,1503.5625
EDGE-05900,捲,卷,扌,手,16,16,0,0,1486.4375
EDGE-03762,僭,朁,亻,人,16,16,0,0,1479.5625
EDGE-01897,翕,合,羽,羽,16,16,0,0,1449.5625
EDGE-04451,箝,拑,竹,竹,16,16,0,0,1432.5
EDGE-03928,懶,賴,忄,心,16,16,0,0,1415.1875
EDGE-01058,耽,冘,耳,耳,16,16,0,0,1394.8125
EDGE-03508,欣,斤,欠,欠,16,16,0,0,1388.75
EDGE-00455,頏,亢,頁,頁,16,16,0,0,1333.75
EDGE-03232,悌,弟,忄,心,16,16,0,0,1301.4375
EDGE-04059,悔,毎,忄,心,16,16,0,0,1246.375
EDGE-05628,醉,卒,酉,酉,16,16,0,0,1243.1875
EDGE-00777,輓,免,車,車,16,16,0,0,1232.625
EDGE-05199,弭,耳,弓,弓,16,16,0,0,1229.375
EDGE-02469,渙,奐,氵,水,16,16,0,0,1216.3125
EDGE-03768,譖,朁,言,言,16,16,0,0,1185.6875
EDGE-01643,慳,堅,忄,心,16,16,0,0,1106.125
EDGE-04391,訝,牙,言,言,16,16,0,0,1104.25
EDGE-00409,牾,吾,牜,牛,16,16,0,0,1043.5625
EDGE-03404,扈,戶,邑,邑,16,16,0,0,1040.9375
EDGE-05136,擢,翟,扌,手,16,16,0,0,993.6875
EDGE-01181,紛,分,糸,糸,16,16,0,0,984.375
EDGE-04463,斟,甚,斗,斗,16,16,0,0,983.125
EDGE-01992,梏,告,木,木,16,16,0,0,960.0
EDGE-05902,蜷,卷,虫,虫,16,16,0,0,928.0625
EDGE-02348,棱,夌,木,木,16,16,0,0,896.9375
EDGE-03367,牋,戔,片,片,16,16,0,0,880.0
EDGE-02713,悄,肖,忄,心,16,16,0,0,875.3125
EDGE-00165,鍥,契,釒,金,16,16,0,0,875.0625
EDGE-05678,攣,䜌,手,手,16,16,0,0,858.6875
EDGE-04700,諧,皆,言,言,16,16,0,0,855.75
EDGE-03537,仿,方,亻,人,16,16,0,0,851.5625
EDGE-03390,馘,或,首,首,16,16,0,0,825.1875
EDGE-00485,欬,亥,欠,欠,16,16,0,0,792.8125
EDGE-01168,吩,分,口,口,16,16,0,0,782.375
EDGE-01515,佻,兆,亻,人,16,16,0,0,777.75
EDGE-05215,躡,聶,𧾷,足,16,16,0,0,751.4375
EDGE-05663,檐,詹,木,木,16,16,0,0,738.3125
EDGE-06083,僑,喬,亻,人,16,16,0,0,716.6875
EDGE-02119,煒,韋,火,火,16,16,0,0,613.6875
EDGE-01056,眈,冘,目,目,16,16,0,0,610.5625
EDGE-01621,尤,又,乙,乙,16,16,0,0,552.375
EDGE-01788,呵,可,口,口,16,16,0,0,549.75
EDGE-01392,齜,此,齒,齒,16,16,0,0,527.25
EDGE-05560,艫,盧,舟,舟,16,16,0,0,490.375
EDGE-04985,喑,音,口,口,16,16,0,0,407.9375
EDGE-02823,持,寺,扌,手,16,16,0,0,397.375
EDGE-03351,峨,我,山,山,16,16,0,0,388.1875
EDGE-03650,鯤,昆,魚,魚,16,16,0,0,214.625
EDGE-00170,齧,㓞,齒,齒,16,16,0,0,198.75
EDGE-01909,閤,合,門,門,16,16,0,0,187.75
EDGE-04723,嬉,喜,女,女,16,15,0,0,2367.9375
EDGE-04721,喜,壴,口,口,16,15,0,0,2277.375
EDGE-00931,恭,共,心,心,16,15,0,0,2091.125
EDGE-05112,僇,翏,亻,人,16,15,0,0,1961.375
EDGE-00074,忸,丑,忄,心,16,15,0,0,1841.4375
EDGE-00201,駐,主,馬,馬,16,15,0,0,1796.4375
EDGE-04341,唏,希,口,口,16,15,0,0,1690.25
EDGE-00335,紓,予,糸,糸,16,15,0,0,1618.4375
EDGE-05753,齪,足,齒,齒,16,15,0,0,1605.6875
EDGE-05532,懃,勤,心,心,16,15,0,0,1527.0
EDGE-03065,彆,敝,弓,弓,16,15,0,0,1505.75
EDGE-05167,愷,豈,忄,心,16,15,0,0,1431.25
EDGE-01509,貼,占,貝,貝,16,15,0,0,1430.1875
EDGE-02831,等,寺,竹,竹,16,15,0,0,1425.875
EDGE-02044,憾,感,忄,心,16,15,0,0,1334.75
EDGE-05051,剛,岡,刂,刀,16,15,0,0,1305.8125
EDGE-00181,篷,逢,竹,竹,16,15,0,0,1304.25
EDGE-04458,鉗,甘,釒,金,16,15,0,0,1293.625
EDGE-03490,紊,文,糸,糸,16,15,0,0,1288.75
EDGE-00810,愒,曷,忄,心,16,15,0,0,1239.125
EDGE-05491,慕,莫,㣺,心,16,15,0,0,1204.0625
EDGE-03882,婪,林,女,女,16,15,0,0,1203.125
EDGE-00333,抒,予,扌,手,16,15,0,0,1198.3125
EDGE-01649,賢,臤,貝,貝,16,15,0,0,1196.875
EDGE-03406,雇,戶,隹,隹,16,15,0,0,1189.1875
EDGE-05196,緝,咠,糸,糸,16,15,0,0,1165.75
EDGE-03753,噌,曾,口,口,16,15,0,0,1157.0625
EDGE-05493,摹,莫,手,手,16,15,0,0,1146.5625
EDGE-04461,堪,甚,土,土,16,15,0,0,1126.9375
EDGE-03140,呦,幼,口,口,16,15,0,0,1126.875
EDGE-03024,紿,台,糸,糸,16,15,0,0,1096.1875
EDGE-04711,磴,登,石,石,16,15,0,0,1093.375
EDGE-00727,驗,僉,馬,馬,16,15,0,0,1074.75
EDGE-02821,待,寺,彳,彳,16,15,0,0,1072.5625
EDGE-02287,饒,堯,飠,食,16,15,0,0,1061.6875
EDGE-05959,雖,唯,虫,虫,16,15,0,0,1054.3125
EDGE-05930,脹,長,肉,肉,16,15,0,0,1046.3125
EDGE-01619,佑,右,亻,人,16,15,0,0,1034.8125
EDGE-02266,僥,堯,亻,人,16,15,0,0,1026.25
EDGE-05294,徨,皇,彳,彳,16,15,0,0,1008.75
EDGE-00292,槌,追,木,木,16,15,0,0,994.5
EDGE-00976,慊,兼,忄,心,16,15,0,0,987.0625
EDGE-00152,赳,丩,走,走,16,15,0,0,981.5
EDGE-04476,惺,星,忄,心,16,15,0,0,978.625
EDGE-03449,伎,支,亻,人,16,15,0,0,963.0
EDGE-03302,祕,必,礻,示,16,15,0,0,954.875
EDGE-01595,侔,牟,亻,人,16,15,0,0,941.75
EDGE-00773,挽,免,扌,手,16,15,0,0,922.125
EDGE-03770,儈,會,亻,人,16,15,0,0,917.25
EDGE-01313,惚,忽,忄,心,16,15,0,0,913.4375
EDGE-01038,購,冓,貝,貝,16,15,0,0,911.625
EDGE-03424,騙,扁,馬,馬,16,15,0,0,909.125
EDGE-04522,恿,甬,心,心,16,15,0,0,890.8125
EDGE-05159,惴,耑,忄,心,16,15,0,0,886.1875
EDGE-00457,佼,交,亻,人,16,15,0,0,885.0625
EDGE-01251,砲,包,石,石,16,15,0,0,859.1875
EDGE-00273,詫,宅,言,言,16,15,0,0,842.0625
EDGE-05129,謬,翏,言,言,16,15,0,0,839.25
EDGE-05934,問,門,口,口,16,15,0,0,809.6875
EDGE-00447,沆,亢,氵,水,16,15,0,0,796.25
EDGE-05505,驀,莫,馬,馬,16,15,0,0,795.125
EDGE-00340,預,予,頁,頁,16,15,0,0,790.5
EDGE-01759,沽,古,氵,水,16,15,0,0,782.5
EDGE-04520,踴,勇,𧾷,足,16,15,0,0,779.625
EDGE-05295,惶,皇,忄,心,16,15,0,0,768.6875
EDGE-04076,讒,毚,言,言,16,15,0,0,757.5
EDGE-05957,唯,隹,口,口,16,15,0,0,756.25
EDGE-05562,轤,盧,車,車,16,15,0,0,749.1875
EDGE-05969,惟,隹,忄,心,16,15,0,0,747.1875
EDGE-01218,賀,加,貝,貝,16,15,0,0,724.625
EDGE-03000,脫,兌,肉,肉,16,15,0,0,717.125
EDGE-04496,靚,青,見,見,16,15,0,0,711.25
EDGE-03532,漸,斬,氵,水,16,15,0,0,706.125
EDGE-02211,鋌,廷,釒,金,16,15,0,0,700.375
EDGE-03144,窈,幼,穴,穴,16,15,0,0,686.3125
EDGE-01858,雒,各,隹,隹,16,15,0,0,685.875
EDGE-04039,燦,粲,火,火,16,15,0,0,665.625
EDGE-03843,蹟,責,𧾷,足,16,15,0,0,659.5
EDGE-04040,璨,粲,王,玉,16,15,0,0,649.875
EDGE-02302,任,壬,亻,人,16,15,0,0,643.3125
EDGE-01652,伋,及,亻,人,16,15,0,0,642.875
EDGE-03543,倣,放,亻,人,16,15,0,0,642.875
EDGE-03817,侏,朱,亻,人,16,15,0,0,638.4375
EDGE-00459,姣,交,女,女,16,15,0,0,633.4375
EDGE-03693,颺,昜,風,風,16,15,0,0,626.0625
EDGE-02270,撓,堯,扌,手,16,15,0,0,625.1875
EDGE-05614,悴,卒,忄,心,16,15,0,0,613.375
EDGE-01959,飼,司,飠,食,16,15,0,0,607.4375
EDGE-04172,擴,廣,扌,手,16,15,0,0,607.0
EDGE-01079,帆,凡,巾,巾,16,15,0,0,585.875
EDGE-02496,奴,女,又,又,16,15,0,0,570.875
EDGE-04499,甥,生,男,男,16,15,0,0,566.625
EDGE-03732,蜋,良,虫,虫,16,15,0,0,538.1875
EDGE-01489,仆,卜,亻,人,16,15,0,0,530.5625
EDGE-03439,跌,失,𧾷,足,16,15,0,0,527.3125
EDGE-01400,齔,匕,齒,齒,16,15,0,0,513.0
EDGE-01219,跏,加,𧾷,足,16,15,0,0,488.4375
EDGE-03001,蛻,兌,虫,虫,16,15,0,0,481.875
EDGE-05975,睢,隹,目,目,16,15,0,0,468.3125
EDGE-04185,恍,光,忄,心,16,15,0,0,444.5625
EDGE-02636,棺,官,木,木,16,15,0,0,423.3125
EDGE-01029,鶻,骨,鳥,鳥,16,15,0,0,409.875
EDGE-00553,擒,禽,扌,手,16,15,0,0,402.875
EDGE-02420,飫,夭,飠,食,16,15,0,0,397.3125
EDGE-06096,驕,喬,馬,馬,16,15,0,0,389.25
EDGE-03103,捍,旱,扌,手,16,15,0,0,341.3125
EDGE-00594,枇,比,木,木,16,15,0,0,341.1875
EDGE-00399,吾,五,口,口,16,15,0,0,334.6875
EDGE-01837,珞,各,王,玉,16,15,0,0,332.25
EDGE-01500,霑,沾,雨,雨,16,15,0,0,316.5625
EDGE-00111,雎,且,隹,隹,16,15,0,0,289.625
EDGE-04268,琤,爭,王,玉,16,15,0,0,281.0
EDGE-02507,駑,奴,馬,馬,16,15,0,0,268.125
EDGE-00064,嬪,賓,女,女,16,15,0,0,266.0625
EDGE-01768,醐,胡,酉,酉,16,15,0,0,262.0625
EDGE-01420,嶇,區,山,山,16,15,0,0,250.625
EDGE-03982,爍,樂,火,火,16,15,0,0,190.625
EDGE-00745,鯇,完,魚,魚,16,15,0,0,167.5625
EDGE-01602,埃,矣,土,土,16,15,0,0,129.8125
EDGE-03377,餞,戔,飠,食,16,15,0,0,103.6875
EDGE-02989,駿,夋,馬,馬,16,15,0,0,102.375
EDGE-01331,渾,軍,氵,水,16,15,0,0,64.125
EDGE-02819,峙,寺,山,山,16,15,0,0,56.875
EDGE-05612,啐,卒,口,口,16,15,0,0,19.125
EDGE-01859,駱,各,馬,馬,16,15,0,0,6.375
EDGE-04559,補,甫,衤,衣,16,15,0,0,-8.4375
EDGE-05229,簫,肅,竹,竹,16,15,0,0,-16.1875
EDGE-02234,窪,洼,穴,穴,16,15,0,0,-103.25
EDGE-03417,翩,扁,羽,羽,16,15,0,0,-108.875
EDGE-00230,鈔,少,釒,金,16,15,0,0,-175.8125
EDGE-01393,牝,匕,牜,牛,16,15,0,0,-197.9375
EDGE-05518,穫,蒦,禾,禾,16,15,0,0,-226.3125
EDGE-04038,粲,𣦼,米,米,16,14,0,0,2758.25
EDGE-04479,醒,星,酉,酉,16,14,0,0,2020.75
EDGE-04716,鐙,登,釒,金,16,14,0,0,1733.1875
EDGE-00914,瀆,𧶠,氵,水,16,14,0,0,1581.5
EDGE-00863,愈,兪,心,心,16,14,0,0,1509.3125
EDGE-01122,拙,出,扌,手,16,14,0,0,1489.125
EDGE-00922,黷,𧶠,黑,黑,16,14,0,0,1334.8125
EDGE-03485,吝,文,口,口,16,14,0,0,1257.125
EDGE-04469,諶,甚,言,言,16,14,0,0,1200.3125
EDGE-01125,絀,出,糸,糸,16,14,0,0,1186.875
EDGE-00776,絻,免,糸,糸,16,14,0,0,1183.5625
EDGE-04083,耗,毛,耒,耒,16,14,0,0,1162.8125
EDGE-01301,酌,勺,酉,酉,16,14,0,0,1135.75
EDGE-03668,賜,易,貝,貝,16,14,0,0,1102.1875
EDGE-03653,娼,昌,女,女,16,14,0,0,1032.25
EDGE-02466,喚,奐,口,口,16,14,0,0,1026.25
EDGE-05666,簷,詹,竹,竹,16,14,0,0,1018.9375
EDGE-02349,淩,夌,氵,水,16,14,0,0,1014.625
EDGE-02684,醬,將,酉,酉,16,14,0,0,1007.4375
EDGE-05751,捉,足,扌,手,16,14,0,0,990.4375
EDGE-05963,催,崔,亻,人,16,14,0,0,970.75
EDGE-03407,顧,雇,頁,頁,16,14,0,0,937.4375
EDGE-00196,住,主,亻,人,16,14,0,0,911.6875
EDGE-06015,懦,需,忄,心,16,14,0,0,906.25
EDGE-03400,讖,韱,言,言,16,14,0,0,889.75
EDGE-02117,幃,韋,巾,巾,16,14,0,0,889.375
EDGE-05232,瀟,蕭,氵,水,16,14,0,0,888.8125
EDGE-04360,禳,襄,礻,示,16,14,0,0,878.625
EDGE-01927,頡,吉,頁,頁,16,14,0,0,878.5625
EDGE-04513,慵,庸,忄,心,16,14,0,0,858.625
EDGE-01449,忤,午,忄,心,16,14,0,0,858.0
EDGE-02048,箴,咸,竹,竹,16,14,0,0,845.9375
EDGE-05621,碎,卒,石,石,16,14,0,0,831.5625
EDGE-00465,狡,交,犭,犬,16,14,0,0,831.0
EDGE-02852,愬,朔,心,心,16,14,0,0,822.9375
EDGE-03346,譏,幾,言,言,16,14,0,0,814.6875
EDGE-00136,評,平,言,言,16,14,0,0,794.4375
EDGE-02540,僂,婁,亻,人,16,14,0,0,794.3125
EDGE-04460,勘,甚,力,力,16,14,0,0,792.875
EDGE-01636,賄,有,貝,貝,16,14,0,0,783.625
EDGE-05622,窣,卒,穴,穴,16,14,0,0,761.125
EDGE-01997,誥,告,言,言,16,14,0,0,760.25
EDGE-01696,輟,叕,車,車,16,14,0,0,755.875
EDGE-06053,靡,非,麻,麻,16,14,0,0,737.25
EDGE-03654,猖,昌,犭,犬,16,14,0,0,735.0625
EDGE-02203,挺,廷,扌,手,16,14,0,0,725.9375
EDGE-03106,悍,旱,忄,心,16,14,0,0,722.0625
EDGE-02729,截,雀,戈,戈,16,14,0,0,720.75
EDGE-02716,消,肖,氵,水,16,14,0,0,710.625
EDGE-05495,模,莫,木,木,16,14,0,0,699.0625
EDGE-01033,構,冓,木,木,16,14,0,0,692.5
EDGE-00613,怎,乍,心,心,16,14,0,0,686.125
EDGE-01170,忿,分,心,心,16,14,0,0,677.75
EDGE-02643,館,官,飠,食,16,14,0,0,671.4375
EDGE-00690,搶,倉,扌,手,16,14,0,0,655.5625
EDGE-04822,柔,矛,木,木,16,14,0,0,655.5625
EDGE-02042,喊,咸,口,口,16,14,0,0,644.8125
EDGE-01864,勸,雚,力,力,16,14,0,0,638.5625
EDGE-05617,淬,卒,氵,水,16,14,0,0,630.625
EDGE-00718,檢,僉,木,木,16,14,0,0,628.5625
EDGE-05901,綣,卷,糸,糸,16,14,0,0,624.5625
EDGE-01134,劭,召,力,力,16,14,0,0,622.0
EDGE-01821,訶,可,言,言,16,14,0,0,619.6875
EDGE-02806,沌,屯,氵,水,16,14,0,0,616.375
EDGE-01044,懣,滿,心,心,16,14,0,0,611.6875
EDGE-01008,媧,咼,女,女,16,14,0,0,608.875
EDGE-02125,闈,韋,門,門,16,14,0,0,607.75
EDGE-00314,馗,九,首,首,16,14,0,0,607.0625
EDGE-02212,霆,廷,雨,雨,16,14,0,0,604.625
EDGE-03733,踉,良,𧾷,足,16,14,0,0,599.0
EDGE-03462,跂,支,𧾷,足,16,14,0,0,598.125
EDGE-03777,獪,會,犭,犬,16,14,0,0,594.25
EDGE-04481,倩,青,亻,人,16,14,0,0,586.0
EDGE-01631,侑,有,亻,人,16,14,0,0,584.1875
EDGE-03878,腫,重,肉,肉,16,14,0,0,575.375
EDGE-01984,儻,黨,亻,人,16,14,0,0,573.8125
EDGE-00689,愴,倉,忄,心,16,14,0,0,570.375
EDGE-04758,醞,𥁕,酉,酉,16,14,0,0,553.5
EDGE-00722,簽,僉,竹,竹,16,14,0,0,543.8125
EDGE-01605,欸,矣,欠,欠,16,14,0,0,531.0
EDGE-01157,忍,刃,心,心,16,14,0,0,527.6875
EDGE-03128,鼾,干,鼻,鼻,16,14,0,0,521.25
EDGE-03940,諫,柬,言,言,16,14,0,0,517.375
EDGE-00237,筵,延,竹,竹,16,14,0,0,516.375
EDGE-00561,貪,今,貝,貝,16,14,0,0,515.625
EDGE-01608,騃,矣,馬,馬,16,14,0,0,512.4375
EDGE-04457,酣,甘,酉,酉,16,14,0,0,511.6875
EDGE-01296,約,勺,糸,糸,16,14,0,0,505.75
EDGE-00611,咋,乍,口,口,16,14,0,0,505.3125
EDGE-05226,嘯,肅,口,口,16,14,0,0,495.6875
EDGE-01454,判,半,刂,刀,16,14,0,0,448.125
EDGE-00493,駭,亥,馬,馬,16,14,0,0,442.0625
EDGE-05366,搯,舀,扌,手,16,14,0,0,427.875
EDGE-01547,胄,由,肉,肉,16,14,0,0,417.9375
EDGE-03499,圻,斤,土,土,16,14,0,0,408.1875
EDGE-02515,汝,女,氵,水,16,14,0,0,405.75
EDGE-01934,侗,同,亻,人,16,14,0,0,397.1875
EDGE-03342,璣,幾,王,玉,16,14,0,0,392.1875
EDGE-03220,彿,弗,彳,彳,16,14,0,0,388.625
EDGE-02994,悅,兌,忄,心,16,14,0,0,388.5
EDGE-04309,跛,皮,𧾷,足,16,14,0,0,386.25
EDGE-01067,溟,冥,氵,水,16,14,0,0,382.5625
EDGE-01847,潞,路,氵,水,16,14,0,0,376.9375
EDGE-04999,闇,音,門,門,16,14,0,0,375.375
EDGE-00865,愉,兪,忄,心,16,14,0,0,374.375
