edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-03877,鐘,童,釒,金,16,8,0,0,-181.125
EDGE-00858,銓,全,釒,金,16,8,0,0,-183.0
EDGE-06041,排,非,扌,手,16,8,0,0,-184.5
EDGE-00098,祖,且,礻,示,16,8,0,0,-184.5625
EDGE-00851,牷,全,牜,牛,16,8,0,0,-187.8125
EDGE-05435,噴,賁,口,口,16,8,0,0,-202.875
EDGE-00022,汀,丁,氵,水,16,8,0,0,-207.3125
EDGE-05470,檠,敬,木,木,16,8,0,0,-216.75
EDGE-01424,樞,區,木,木,16,8,0,0,-217.375
EDGE-02612,跎,它,𧾷,足,16,8,0,0,-226.9375
EDGE-01626,鷲,就,鳥,鳥,16,8,0,0,-229.0
EDGE-03565,堵,者,土,土,16,8,0,0,-242.0
EDGE-02428,盎,央,皿,皿,16,8,0,0,-250.3125
EDGE-01365,尼,匕,尸,尸,16,8,0,0,-251.3125
EDGE-01851,露,路,雨,雨,16,8,0,0,-252.125
EDGE-05341,欖,覽,木,木,16,8,0,0,-265.5
EDGE-03923,剌,柬,刂,刀,16,8,0,0,-280.0
EDGE-03488,汶,文,氵,水,16,8,0,0,-286.0
EDGE-03229,費,弗,貝,貝,16,8,0,0,-288.25
EDGE-03163,蹠,庶,𧾷,足,16,8,0,0,-290.75
EDGE-04373,壯,爿,士,士,16,8,0,0,-290.8125
EDGE-00285,裙,君,衤,衣,16,8,0,0,-293.25
EDGE-03069,瞥,敝,目,目,16,8,0,0,-293.625
EDGE-01204,測,則,氵,水,16,8,0,0,-294.4375
EDGE-01752,裾,居,衤,衣,16,8,0,0,-296.0
EDGE-02940,距,巨,𧾷,足,16,8,0,0,-310.5625
EDGE-05730,櫻,嬰,木,木,16,8,0,0,-310.625
EDGE-03751,鰻,曼,魚,魚,16,8,0,0,-311.9375
EDGE-01070,螟,冥,虫,虫,16,8,0,0,-315.125
EDGE-03893,夥,果,多,多,16,8,0,0,-315.125
EDGE-01996,窖,告,穴,穴,16,8,0,0,-324.3125
EDGE-00698,鎗,倉,釒,金,16,8,0,0,-331.25
EDGE-01814,柯,可,木,木,16,8,0,0,-342.25
EDGE-03505,淅,析,氵,水,16,8,0,0,-342.5
EDGE-01020,拐,冎,扌,手,16,8,0,0,-351.5
EDGE-05533,槿,堇,木,木,16,8,0,0,-353.3125
EDGE-01248,泡,包,氵,水,16,8,0,0,-372.0
EDGE-03568,屠,者,尸,尸,16,8,0,0,-373.625
EDGE-03862,慟,動,忄,心,16,8,0,0,-375.4375
EDGE-03240,鵜,弟,鳥,鳥,16,8,0,0,-382.0
EDGE-03574,箸,者,竹,竹,16,8,0,0,-389.3125
EDGE-02824,時,寺,日,日,16,8,0,0,-396.6875
EDGE-00345,次,二,欠,欠,16,8,0,0,-401.25
EDGE-02715,梢,肖,木,木,16,8,0,0,-410.5
EDGE-05395,塗,涂,土,土,16,8,0,0,-421.375
EDGE-06095,轎,喬,車,車,16,8,0,0,-432.625
EDGE-04670,柏,白,木,木,16,8,0,0,-439.0
EDGE-03906,喋,枼,口,口,16,8,0,0,-459.375
EDGE-01435,鷗,區,鳥,鳥,16,8,0,0,-479.0625
EDGE-04769,想,相,心,心,16,8,0,0,-483.5625
EDGE-04337,怖,布,忄,心,16,8,0,0,-492.25
EDGE-01833,格,各,木,木,16,8,0,0,-511.1875
EDGE-04923,離,离,隹,隹,16,8,0,0,-524.0
EDGE-02069,彈,單,弓,弓,16,8,0,0,-526.5625
EDGE-02619,按,安,扌,手,16,8,0,0,-534.8125
EDGE-01395,頃,匕,頁,頁,16,8,0,0,-574.6875
EDGE-04487,猜,青,犭,犬,16,8,0,0,-589.4375
EDGE-01802,椅,奇,木,木,16,8,0,0,-590.25
EDGE-05801,娠,辰,女,女,16,8,0,0,-596.8125
EDGE-03380,摑,國,扌,手,16,8,0,0,-620.9375
EDGE-00676,條,攸,木,木,16,8,0,0,-628.625
EDGE-02971,吮,允,口,口,16,8,0,0,-635.0625
EDGE-04809,務,敄,力,力,16,8,0,0,-656.1875
EDGE-02814,頓,屯,頁,頁,16,8,0,0,-656.4375
EDGE-01889,拾,合,扌,手,16,8,0,0,-681.5625
EDGE-01526,眺,兆,目,目,16,8,0,0,-687.9375
EDGE-01408,掉,卓,扌,手,16,8,0,0,-694.5625
EDGE-01874,觀,雚,見,見,16,8,0,1,-696.75
EDGE-00616,炸,乍,火,火,16,8,0,0,-709.8125
EDGE-01373,些,此,二,二,16,8,0,0,-715.3125
EDGE-01745,姑,古,女,女,16,8,0,0,-715.8125
EDGE-00839,盲,亡,目,目,16,8,0,0,-716.625
EDGE-01353,靴,化,革,革,16,8,0,0,-729.625
EDGE-04020,鉦,正,釒,金,16,8,0,0,-753.75
EDGE-04823,揉,柔,扌,手,16,8,0,0,-793.8125
EDGE-01483,髀,卑,骨,骨,16,8,0,0,-810.6875
EDGE-02232,桂,圭,木,木,16,8,0,0,-812.4375
EDGE-05639,硯,見,石,石,16,8,0,0,-830.9375
EDGE-03111,汗,干,氵,水,16,8,0,0,-983.5
EDGE-04351,殽,肴,殳,殳,8,7,0,0,3514.125
EDGE-02292,蓺,埶,艹,艸,8,7,0,0,2436.625
EDGE-01570,頠,危,頁,頁,8,7,0,0,2266.0
EDGE-04157,娑,沙,女,女,8,7,0,0,2184.25
EDGE-05147,恧,而,心,心,8,7,0,0,2175.125
EDGE-00208,賠,咅,貝,貝,8,7,0,0,2171.875
EDGE-06141,蘇,穌,艹,艸,8,7,0,0,2164.75
EDGE-02786,淒,妻,氵,水,8,7,0,0,2012.5
EDGE-01952,詬,后,言,言,8,7,0,0,1920.0
EDGE-02400,骫,丸,骨,骨,8,7,0,0,1917.0
EDGE-01884,媕,弇,女,女,8,7,0,0,1913.25
EDGE-04483,婧,青,女,女,8,7,0,0,1913.125
EDGE-01946,酩,名,酉,酉,8,7,0,0,1838.5
EDGE-00874,緰,兪,糸,糸,8,7,0,0,1772.0
EDGE-05223,贐,盡,貝,貝,8,7,0,0,1760.5
EDGE-04825,糅,柔,米,米,8,7,0,0,1661.5
EDGE-00653,徠,來,彳,彳,8,7,0,0,1623.875
EDGE-03516,訢,斤,言,言,8,7,0,0,1598.25
EDGE-02221,罫,卦,罒,网,8,7,0,0,1549.0
EDGE-00673,儵,攸,黑,黑,8,7,0,0,1530.75
EDGE-00164,禊,契,礻,示,8,7,0,0,1494.25
EDGE-04407,軷,犮,車,車,8,7,0,0,1461.875
EDGE-01404,倬,卓,亻,人,8,7,0,0,1454.25
EDGE-02213,頲,廷,頁,頁,8,7,0,0,1451.75
EDGE-00713,憸,僉,忄,心,8,7,0,0,1439.875
EDGE-05741,纘,贊,糸,糸,8,7,0,0,1437.25
EDGE-02062,僤,單,亻,人,8,7,0,0,1425.25
EDGE-05191,咠,耳,口,口,8,7,0,0,1421.75
EDGE-06020,臑,需,肉,肉,8,7,0,0,1387.875
EDGE-05005,娸,其,女,女,8,7,0,0,1382.0
EDGE-02267,嘵,堯,口,口,8,7,0,0,1371.625
EDGE-04072,嚵,毚,口,口,8,7,0,0,1342.375
EDGE-02241,絓,圭,糸,糸,8,7,0,0,1308.125
EDGE-01990,俁,吳,亻,人,8,7,0,0,1276.5
EDGE-00021,朾,丁,木,木,8,7,0,0,1271.0
EDGE-05883,繙,番,糸,糸,8,7,0,0,1238.75
EDGE-05080,懌,睪,忄,心,8,7,0,0,1237.5
EDGE-03411,媥,扁,女,女,8,7,0,0,1236.375
EDGE-04158,莎,沙,艹,艸,8,7,0,0,1225.625
EDGE-03250,掾,彖,扌,手,8,7,0,0,1216.0
EDGE-04199,欻,炎,欠,欠,8,7,0,0,1203.25
EDGE-00431,齌,齊,火,火,8,7,0,0,1174.75
EDGE-02103,趮,喿,走,走,8,7,0,0,1162.0
EDGE-04837,憰,矞,忄,心,8,7,0,0,1160.5
EDGE-05783,繴,辟,糸,糸,8,7,0,0,1141.625
EDGE-02584,脬,孚,肉,肉,8,7,0,0,1120.125
EDGE-03027,詒,台,言,言,8,7,0,0,1103.0
EDGE-04625,僵,畺,亻,人,8,7,0,0,1101.875
EDGE-05156,鮞,而,魚,魚,8,7,0,0,1099.75
EDGE-04877,橐,石,東,東,8,7,0,0,1097.375
EDGE-01916,劼,吉,力,力,8,7,0,0,1096.0
EDGE-03274,槥,彗,木,木,8,7,0,0,1072.375
EDGE-02695,縳,專,糸,糸,8,7,0,0,1064.25
EDGE-05922,鎒,辱,釒,金,8,7,0,0,1064.0
EDGE-00774,浼,免,氵,水,8,7,0,0,1059.125
EDGE-01368,柅,尼,木,木,8,7,0,0,1014.625
EDGE-02366,菀,宛,艹,艸,8,7,0,0,1009.25
EDGE-02743,戚,尗,戉,戉,8,7,0,0,999.0
EDGE-05017,僛,欺,亻,人,8,7,0,0,972.875
EDGE-02790,霋,妻,雨,雨,8,7,0,0,961.625
EDGE-00119,勩,貰,力,力,8,7,0,0,961.25
EDGE-04138,眽,𠂢,目,目,8,7,0,0,961.0
EDGE-03635,眴,旬,目,目,8,7,0,0,960.875
EDGE-05635,俔,見,亻,人,8,7,0,0,959.0
EDGE-04211,餤,炎,飠,食,8,7,0,0,956.5
EDGE-04535,尃,甫,寸,寸,8,7,0,0,944.875
EDGE-00004,噦,歲,口,口,8,7,0,0,942.125
EDGE-01531,誂,兆,言,言,8,7,0,0,940.625
EDGE-04150,賕,求,貝,貝,8,7,0,0,939.5
EDGE-04941,萎,委,艹,艸,8,7,0,0,939.125
EDGE-02690,慱,專,忄,心,8,7,0,0,925.0
EDGE-05788,躄,辟,足,足,8,7,0,0,920.875
EDGE-05312,絰,至,糸,糸,8,7,0,0,917.875
EDGE-05916,貍,里,豸,豸,8,7,0,0,910.125
EDGE-03381,膕,國,肉,肉,8,7,0,0,900.125
EDGE-02439,咦,夷,口,口,8,7,0,0,891.625
EDGE-01563,垝,危,土,土,8,7,0,0,880.125
EDGE-04081,秏,毛,禾,禾,8,7,0,0,879.375
EDGE-05197,葺,咠,艹,艸,8,7,0,0,872.125
EDGE-02388,杕,大,木,木,8,7,0,0,861.0
EDGE-06181,曨,龍,日,日,8,7,0,0,858.0
EDGE-03621,怛,旦,忄,心,8,7,0,0,845.375
EDGE-00467,窔,交,穴,穴,8,7,0,0,844.25
EDGE-05114,嫪,翏,女,女,8,7,0,0,835.375
EDGE-02977,捘,夋,扌,手,8,7,0,0,834.5
EDGE-05775,幦,辟,巾,巾,8,7,0,0,834.375
EDGE-03894,婐,果,女,女,8,7,0,0,828.625
EDGE-02964,圯,巳,土,土,8,7,0,0,828.25
EDGE-04259,瀌,麃,氵,水,8,7,0,0,827.375
EDGE-05834,悒,邑,忄,心,8,7,0,0,814.5
EDGE-03480,嗷,敖,口,口,8,7,0,0,812.375
EDGE-04558,莆,甫,艹,艸,8,7,0,0,812.375
EDGE-01247,枹,包,木,木,8,7,0,0,807.75
EDGE-00046,伾,丕,亻,人,8,7,0,0,802.625
EDGE-02380,簃,移,竹,竹,8,7,0,0,797.5
EDGE-04301,碆,波,石,石,8,7,0,0,794.375
EDGE-01541,怞,由,忄,心,8,7,0,0,787.5
EDGE-01883,弇,合,廾,廾,8,7,0,0,785.5
EDGE-04921,謧,离,言,言,8,7,0,0,774.375
